gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
16,491,[0.36972904 0.38870524],[0.76838174 0.41032595],[0.32674018 0.23705509],[0.0746035  0.02567926],100.0,1.8333333333333333,43813369.681672744,52752857.251320064,33904199.21260002,6410046.443294888,129324.66997792725,152651.68517640012,102521.06235023997,18289.997243401434,0.301329376757399,0.3509340929474768,0.24132915291130824,0.035324909958004115,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41842219.31392503,52752857.251320064,33904199.21260002,6422131.242904919,123225.42983741994,152651.68517640012,102521.06235023997,17840.278074796977,0.30038662810330014,0.3509340929474768,0.24132915291130824,0.039342169432655706,8
17,521,[0.36779415 0.3901705 ],[0.76838174 0.40741543],[0.33517271 0.23705509],[0.07396375 0.02493618],100.0,1.8333333333333333,43813369.681672744,52752857.251320064,33904199.21260002,6410046.443294888,129324.66997792725,152651.68517640012,102521.06235023997,18289.997243401434,0.301329376757399,0.3509340929474768,0.24132915291130824,0.035324909958004115,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41842219.31392503,52752857.251320064,33904199.21260002,6422131.242904919,123225.42983741994,152651.68517640012,102521.06235023997,17840.278074796977,0.30038662810330014,0.3509340929474768,0.24132915291130824,0.039342169432655706,8
18,521,[0.37165157 0.3886842 ],[0.76838174 0.40741543],[0.33517271 0.23705509],[0.07548589 0.02480051],100.0,1.8333333333333333,43813369.681672744,52752857.251320064,33904199.21260002,6410046.443294888,129324.66997792725,152651.68517640012,102521.06235023997,18289.997243401434,0.301329376757399,0.3509340929474768,0.24132915291130824,0.035324909958004115,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41842219.31392503,52752857.251320064,33904199.21260002,6422131.242904919,123225.42983741994,152651.68517640012,102521.06235023997,17840.278074796977,0.30038662810330014,0.3509340929474768,0.24132915291130824,0.039342169432655706,8
19,521,[0.37594818 0.38562402],[0.76838174 0.41634192],[0.32692323 0.23705509],[0.07746637 0.02462545],100.0,2.833333333333333,42716874.19184944,52752857.251320064,33904199.21260002,5587072.177258508,126360.97138658818,152651.68517640012,102521.06235023997,15810.13344089851,0.3131691819632754,0.36850888746867666,0.24132915291130824,0.036427018353110664,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41842219.31392503,52752857.251320064,33904199.21260002,6422131.242904919,123225.42983741994,152651.68517640012,102521.06235023997,17840.278074796977,0.30038662810330014,0.3509340929474768,0.24132915291130824,0.039342169432655706,8
20,502,[0.37969202 0.38215553],[0.76838174 0.40877874],[0.33587669 0.23705509],[0.07728139 0.02396696],100.0,3.0,42462976.38196003,52752857.251320064,33904199.21260002,5529654.387850946,125398.92116836885,152651.68517640012,102521.06235023997,15868.45378690816,0.3147436028620614,0.36850888746867666,0.24132915291130824,0.03599095834035036,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41842219.31392503,52752857.251320064,33904199.21260002,6422131.242904919,123225.42983741994,152651.68517640012,102521.06235023997,17840.278074796977,0.30038662810330014,0.3509340929474768,0.24132915291130824,0.039342169432655706,8
21,532,[0.38611858 0.37811661],[0.76838174 0.40877874],[0.33680653 0.23705509],[0.07788209 0.02295747],100.0,3.5000000000000004,41671605.19365908,52752857.251320064,32316571.92012,5618565.031198493,123385.16311419806,152651.68517640012,97057.41419303993,15995.153218084799,0.31976051782067916,0.36850888746867666,0.24132915291130824,0.03555524312669862,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41643765.90236503,52752857.251320064,32316571.92012,6683570.178975737,122542.47381776993,152651.68517640012,97057.41419303993,18703.498845840204,0.30004708395804275,0.3482177397854178,0.24132915291130824,0.038913842469781273,8
22,518,[0.38650002 0.37528102],[0.76838174 0.41085377],[0.33074459 0.23705509],[0.07591771 0.02125687],100.0,4.333333333333334,41003166.35953233,52752857.251320064,31170772.794999994,5517108.929837957,121836.18201743689,152651.68517640012,93306.66560703993,15790.809102454408,0.32607587437119395,0.38039077109320585,0.24132915291130824,0.035054492767503075,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40147335.12999602,52752857.251320064,31170772.794999994,6817795.27225005,118292.77414374394,152651.68517640012,93306.66560703993,19101.201748494583,0.312575555207793,0.38039077109320585,0.24132915291130824,0.04361132306022928,10
23,510,[0.38515745 0.37368105],[0.76838174 0.40403425],[0.33152198 0.24132915],[0.07295312 0.0195647 ],100.0,5.333333333333334,39819507.19156752,52752857.251320064,29847440.26291999,6351346.318748108,118548.05070786746,152651.68517640012,90453.83281704,18308.995153355812,0.3331722867656683,0.3809393435999794,0.24132915291130824,0.035559643382997365,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38616504.72414335,52752857.251320064,29847440.26291999,7118810.406456949,113973.30692200661,152651.68517640012,90453.83281704,19959.128533610936,0.32139930610883727,0.3809393435999794,0.24132915291130824,0.0444533641479817,12
24,499,[0.3846063  0.37427677],[0.76838174 0.40403425],[0.33110881 0.24132915],[0.07336893 0.02075336],100.0,7.666666666666666,38734055.840174794,52752857.251320064,29847440.26291999,6221644.373060502,115223.99196423999,152651.68517640012,90453.83281704,17986.806000938006,0.3406068026399698,0.38143105495543084,0.24132915291130824,0.03430133899633191,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38675425.405766174,52752857.251320064,29847440.26291999,6842576.640900307,114204.48459745223,152651.68517640012,90453.83281704,19192.824917749145,0.3205621959316455,0.38040209665148395,0.24132915291130824,0.0427402218249931,13
25,499,[0.37328981 0.38035778],[0.76838174 0.40055393],[0.33219981 0.24132915],[0.06824372 0.02106999],100.0,11.333333333333332,36587775.027219415,52752857.251320064,29354981.03828,6241300.604517393,109284.82355379763,152651.68517640012,88389.48235343998,17936.415532495987,0.3510296408082345,0.3929332060238435,0.24132915291130824,0.03300226401136276,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37554772.44283144,52752857.251320064,29354981.03828,7304796.908928286,111729.83757363995,152651.68517640012,88389.48235343998,20152.98348518865,0.325953572413126,0.386139986858053,0.24132915291130824,0.04554223809041134,14
