gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size,sep1,sep2,sep3,sep4,sep5
13,84,[0.38211448 0.57826198],[0.79849975 0.61170638],[0.34299851 0.37807388],[0.07440693 0.04216575],100.0,7.000000000000001,41587155.42247999,54586378.014079966,33690671.626879975,7902812.782485221,123336.60938211439,167245.9219172,97966.26221880014,25514.360634388195,0.5032391519513228,0.5580214371713278,0.37807387973717804,0.06218909772803586,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41549451.80928001,52405576.156560056,33690671.626879975,6792646.38159013,121743.66558230013,157055.59434080016,97966.26221880014,21676.1916246988,0.48943783163513305,0.5490568284579941,0.37807387973717804,0.06611595044471268,4,|,|,|,|,|
14,86,[0.38540598 0.57667856],[0.79849975 0.61170638],[0.34299851 0.37807388],[0.07670901 0.0428485 ],100.0,7.000000000000001,41587155.42247999,54586378.014079966,33690671.626879975,7902812.782485221,123336.60938211439,167245.9219172,97966.26221880014,25514.360634388195,0.5032391519513228,0.5580214371713278,0.37807387973717804,0.06218909772803586,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41549451.80928001,52405576.156560056,33690671.626879975,6792646.38159013,121743.66558230013,157055.59434080016,97966.26221880014,21676.1916246988,0.48943783163513305,0.5490568284579941,0.37807387973717804,0.06611595044471268,4,|,|,|,|,|
15,82,[0.38782411 0.57578784],[0.79849975 0.61170638],[0.33520522 0.37807388],[0.07835632 0.04298008],100.0,7.000000000000001,41587155.42247999,54586378.014079966,33690671.626879975,7902812.782485221,123336.60938211439,167245.9219172,97966.26221880014,25514.360634388195,0.5032391519513228,0.5580214371713278,0.37807387973717804,0.06218909772803586,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41549451.80928001,52405576.156560056,33690671.626879975,6792646.38159013,121743.66558230013,157055.59434080016,97966.26221880014,21676.1916246988,0.48943783163513305,0.5490568284579941,0.37807387973717804,0.06611595044471268,4,|,|,|,|,|
16,72,[0.39247169 0.57249971],[0.79849975 0.61170638],[0.33520522 0.37807388],[0.07951651 0.04409613],100.0,7.000000000000001,41587155.42247999,54586378.014079966,33690671.626879975,7902812.782485221,123336.60938211439,167245.9219172,97966.26221880014,25514.360634388195,0.5032391519513228,0.5580214371713278,0.37807387973717804,0.06218909772803586,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41549451.80928001,52405576.156560056,33690671.626879975,6792646.38159013,121743.66558230013,157055.59434080016,97966.26221880014,21676.1916246988,0.48943783163513305,0.5490568284579941,0.37807387973717804,0.06611595044471268,4,|,|,|,|,|
17,87,[0.38853585 0.5725865 ],[0.79849975 0.60922114],[0.33520522 0.37807388],[0.08020251 0.04284223],100.0,9.0,40200687.983448885,54586378.014079966,32846055.0428,7529595.849156984,119134.01204164456,167245.9219172,96045.18369120013,24160.724936982737,0.5188774515364479,0.5898034110863477,0.37807387973717804,0.06262788705758279,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39808772.455984004,52405576.156560056,32846055.0428,7002277.796276545,116603.96920408013,157055.59434080016,96045.18369120013,21944.287232026494,0.5095109475253758,0.5898034110863477,0.37807387973717804,0.07147569551070249,5,|,|,|,|,|
18,76,[0.39333642 0.57131538],[0.79849975 0.60922114],[0.33166806 0.37807388],[0.08033321 0.04260483],100.0,9.0,40200687.983448885,54586378.014079966,32846055.0428,7529595.849156984,119134.01204164456,167245.9219172,96045.18369120013,24160.724936982737,0.5188774515364479,0.5898034110863477,0.37807387973717804,0.06262788705758279,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39808772.455984004,52405576.156560056,32846055.0428,7002277.796276545,116603.96920408013,157055.59434080016,96045.18369120013,21944.287232026494,0.5095109475253758,0.5898034110863477,0.37807387973717804,0.07147569551070249,5,|,|,|,|,|
19,91,[0.3960665  0.56967777],[0.79849975 0.60922114],[0.33166806 0.37807388],[0.085833  0.0417698],100.0,11.0,40344266.881854534,54586378.014079966,32846055.0428,6864459.4727724735,119621.47842781829,167245.9219172,96045.18369120013,22051.937365247508,0.5221388583662274,0.5898034110863477,0.37807387973717804,0.05744650787565393,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39716164.445792004,52405576.156560056,32846055.0428,7007813.767905456,116587.9562789601,157055.59434080016,96045.18369120013,21945.171277945796,0.508781779649886,0.5898034110863477,0.37807387973717804,0.07133179259581529,5,|,|,|,|,|
20,83,[0.39016952 0.57240635],[0.79849975 0.60554233],[0.33166806 0.37807388],[0.08417871 0.03940813],100.0,12.0,40124428.26500999,54586378.014079966,32846055.0428,6612540.312989285,119080.51723350013,167245.9219172,96045.18369120013,21189.218380631042,0.5159066162637961,0.5898034110863477,0.37807387973717804,0.05875663440019719,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39162126.57649001,52405576.156560056,32846055.0428,7863495.528832379,116049.24608670015,157055.59434080016,96045.18369120013,24582.512784188817,0.4910715181046428,0.5898034110863477,0.37807387973717804,0.08335188891996557,4,|,|,|,|,|
21,80,[0.38742613 0.57245511],[0.79849975 0.60554233],[0.33166806 0.37807388],[0.08652267 0.03965844],100.0,12.0,40124428.26500999,54586378.014079966,32846055.0428,6612540.312989285,119080.51723350013,167245.9219172,96045.18369120013,21189.218380631042,0.5159066162637961,0.5898034110863477,0.37807387973717804,0.05875663440019719,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39162126.57649001,52405576.156560056,32846055.0428,7863495.528832379,116049.24608670015,157055.59434080016,96045.18369120013,24582.512784188817,0.4910715181046428,0.5898034110863477,0.37807387973717804,0.08335188891996557,4,|,|,|,|,|
22,84,[0.38369857 0.57468456],[0.79849975 0.60554233],[0.33166806 0.37807388],[0.086127   0.03892268],100.0,13.0,39698105.80972616,54586378.014079966,32846055.0428,6522513.691279457,117857.58497846166,167245.9219172,96045.18369120013,20794.05163067511,0.5170250012055458,0.5898034110863477,0.37807387973717804,0.056584332891044316,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38246148.530456014,52405576.156560056,32846055.0428,7267992.341000264,113475.87645296012,157055.59434080016,96045.18369120013,22581.604746236833,0.4989463385850229,0.5898034110863477,0.37807387973717804,0.07619764497419777,5,|,|,|,|,|
