gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
14,478,[0.47606844 0.00729531],[1.34168137 0.01876095],[3.03646987e-01 1.85248666e-05],[0.16358445 0.00551488],100.0,100.0,57235279.25662933,46794696.13821575,0.007295314010918405,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.489782615686906,46794696.13821575,1.8524866575831103e-05,18
15,488,[0.46632973 0.00718555],[1.34168137 0.01876095],[2.89653623e-01 1.85248666e-05],[0.16639997 0.005472  ],100.0,100.0,56635945.80403079,46058520.67259855,0.007185552021791578,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.524641177280547,46058520.67259855,1.8524866575831103e-05,13
16,486,[0.4558509  0.00710125],[1.34168137 0.01734624],[2.89593938e-01 1.85248666e-05],[0.1716505  0.00558847],100.0,100.0,55993293.182830274,45987394.722434625,0.007101249982875204,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.525432639106091,45987394.722434625,1.8524866575831103e-05,10
17,492,[0.43959041 0.00744555],[1.34168137 0.01807446],[2.78472723e-01 1.85248666e-05],[0.17155463 0.00568023],100.0,100.0,55005511.38633664,45149236.365849525,0.007445553741882524,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.553069834520879,45149236.365849525,1.8524866575831103e-05,12
18,486,[0.42417977 0.00774498],[1.34168137 0.01810298],[2.71119463e-01 1.85248666e-05],[0.17210368 0.00569512],100.0,100.0,54078617.80231256,44704111.12406982,0.007744979224869273,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.571431374198079,44704111.12406982,1.8524866575831103e-05,15
19,480,[0.41630328 0.0074904 ],[1.34168137 0.0170972 ],[2.43166573e-01 1.85248666e-05],[0.17561562 0.00574031],100.0,100.0,53600530.67791591,43178813.153017245,0.007490398425930005,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.64141895814156,43178813.153017245,1.8524866575831103e-05,14
20,491,[0.41182029 0.00717351],[1.34168137 0.01694225],[2.40021680e-01 1.85248666e-05],[0.17864456 0.00565119],100.0,100.0,53311817.675331,43178546.25673412,0.007173505189207452,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.649295698284496,43178546.25673412,1.8524866575831103e-05,13
21,490,[0.40209025 0.00715656],[1.34168137 0.01694225],[2.29981586e-01 1.85248666e-05],[0.18340708 0.00580375],100.0,100.0,52716715.58364613,42276938.345773004,0.007156564752617817,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.674585775353166,42276938.345773004,1.8524866575831103e-05,12
22,480,[0.38986038 0.00725422],[1.34168137 0.01694225],[2.29981586e-01 1.85248666e-05],[0.18680677 0.00583123],100.0,100.0,51977662.854387835,42276938.345773004,0.007254219681418065,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.674587958153452,42276938.345773004,1.8524866575831103e-05,12
23,490,[0.37820617 0.00753264],[1.34168137 0.01724076],[2.24989021e-01 1.85248666e-05],[0.19083342 0.005865  ],100.0,100.0,51269572.28873671,42113058.472511776,0.007532638071198184,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.687047475798356,42113058.472511776,1.8524866575831103e-05,15
24,487,[0.37100366 0.00758798],[1.34168137 0.01711803],[2.11280064e-01 1.85248666e-05],[0.19254299 0.00580957],100.0,100.0,50832896.32233693,41345342.702042386,0.0075879755815665305,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.721133465750768,41345342.702042386,1.8524866575831103e-05,16
25,478,[0.36064345 0.00758001],[1.34168137 0.01760152],[2.10764562e-01 1.85248666e-05],[0.18665035 0.00573855],100.0,100.0,50208975.5110304,41273723.29531981,0.007580011707859068,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.722430263932287,41273723.29531981,1.8524866575831103e-05,18
26,486,[0.35204571 0.00773594],[1.34168137 0.01769358],[2.02720328e-01 1.85248666e-05],[0.18932046 0.00583272],100.0,100.0,49691383.77493506,40911185.68666934,0.007735943625273355,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.742433275295512,40923167.04416926,1.8524866575831103e-05,19
27,489,[0.34711089 0.00787679],[1.34168137 0.01769358],[1.93179547e-01 1.85248666e-05],[0.19154908 0.00593649],100.0,100.0,49395077.40232957,40193678.14769384,0.007876790668223601,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.766160945692103,40193678.14769384,1.8524866575831103e-05,20
28,481,[0.33216635 0.00842533],[1.34168137 0.01802406],[1.89477254e-01 1.85248666e-05],[0.18872272 0.00605666],100.0,100.0,48491881.23785814,39870288.136666484,0.008425329829090188,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.775395402323076,39870288.136666484,1.8524866575831103e-05,23
29,479,[0.31906912 0.00863996],[1.34168137 0.01817303],[1.85473720e-01 1.85248666e-05],[0.18063976 0.00593813],100.0,100.0,47704723.972520255,39644141.64494799,0.00863995702333898,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.7855890362495,39644141.64494799,1.8524866575831103e-05,23
30,480,[0.30648311 0.00939897],[1.34168137 0.01834126],[1.85473720e-01 1.85248666e-05],[0.1837006  0.00594357],100.0,100.0,46954479.12867135,39631047.00448262,0.009398974910946456,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.785609412633821,39631047.00448262,1.8524866575831103e-05,25
31,483,[0.3048496  0.00937318],[1.34168137 0.01834126],[1.81898487e-01 1.85248666e-05],[0.18471726 0.00595971],100.0,100.0,46858151.55517853,39408256.49796085,0.009373179483712146,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.794512906851783,39408256.49796085,1.8524866575831103e-05,22
32,487,[0.29214346 0.00968627],[1.10010319 0.01818633],[1.80189158e-01 1.85248666e-05],[0.17094373 0.00580206],100.0,100.0,46097860.76699895,39408256.49796085,0.009686269224520191,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.798763448388037,39408256.49796085,1.8524866575831103e-05,30
33,476,[0.29076911 0.00958878],[1.10010319 0.01823006],[1.80189158e-01 1.85248666e-05],[0.17109228 0.00573935],100.0,100.0,46006391.547243334,39393299.874878466,0.00958878199569197,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.798792409117389,39393299.874878466,1.8524866575831103e-05,27
34,489,[0.28677984 0.00967339],[1.10010319 0.01862554],[1.75747882e-01 1.85248666e-05],[0.17281138 0.00584045],100.0,100.0,45767610.21440662,39149463.86465069,0.009673390685731793,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.809840165018413,39149463.86465069,1.8524866575831103e-05,26
35,484,[0.28629212 0.00948368],[1.10010319 0.01811184],[1.74829914e-01 1.85248666e-05],[0.17306822 0.00574364],100.0,100.0,45731293.64374609,39053802.64683428,0.009483683221461195,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.812126526753822,39053802.64683428,1.8524866575831103e-05,29
36,482,[0.28507629 0.00944893],[1.10010319 0.01811184],[1.70679319e-01 1.85248666e-05],[0.17397887 0.00577532],100.0,100.0,45654271.12068169,38866210.96153804,0.009448929065566653,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.822464764778284,38866210.96153804,1.8524866575831103e-05,26
37,492,[0.28250213 0.00946147],[1.10010319 0.01829188],[1.70135644e-01 1.85248666e-05],[0.17490524 0.00578883],100.0,100.0,45486104.96906183,38742592.07610096,0.00946146833252262,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.823822670508948,38779408.90310619,1.8524866575831103e-05,34
38,487,[0.28092472 0.00942082],[1.10010319 0.01827864],[1.69557586e-01 1.85248666e-05],[0.17564159 0.00578753],100.0,100.0,45381733.206343986,38710126.83385872,0.009420823578824787,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.825265641380032,38710126.83385872,1.8524866575831103e-05,36
39,477,[0.26458258 0.01001828],[1.10010319 0.01827864],[1.68435448e-01 1.85248666e-05],[0.16321948 0.00568645],100.0,100.0,44396115.14839261,38687760.030658424,0.010018278561655033,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.828063235076386,38701536.35964239,1.8524866575831103e-05,34
