gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
26,489,[0.34738897 0.00844872],[1.13429637 0.01924284],[2.02337476e-01 2.83260872e-05],[0.19515389 0.00705794],100.0,100.0,49279645.90246882,40545694.34501782,0.008448721110909023,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.743759041440549,40545694.34501782,2.8326087168564575e-05,12
27,483,[0.33597227 0.00891871],[1.13429637 0.01921975],[2.01770906e-01 2.83260872e-05],[0.197568   0.00735917],100.0,100.0,48593723.29737321,40545694.34501782,0.0089187065039815,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.745186158567013,40711796.22959856,2.8326087168564575e-05,14
28,482,[0.326355   0.00894493],[1.13429637 0.01940967],[2.00102431e-01 2.83260872e-05],[0.19398207 0.00739662],100.0,100.0,48008247.95126517,40402439.87523639,0.008944930658506102,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.749332585571614,40402439.87523639,2.8326087168564575e-05,15
29,484,[0.30656107 0.01001859],[1.13429637 0.01953348],[1.95731076e-01 2.83260872e-05],[0.18266527 0.00735706],100.0,100.0,46819566.52884863,40261258.95205244,0.010018593753841707,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.760189410287261,40261258.95205244,2.8326087168564575e-05,18
30,486,[0.30485918 0.00990328],[1.13429637 0.01953348],[1.92870235e-01 2.83260872e-05],[0.18356183 0.0074226 ],100.0,100.0,46713404.94119855,39894778.10317994,0.009903280625810255,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.767295585118679,39894778.10317994,2.8326087168564575e-05,23
31,494,[0.30142316 0.00998503],[1.13429637 0.01953368],[1.82402377e-01 2.83260872e-05],[0.1848776  0.00758303],100.0,100.0,46512077.939267606,39232087.07319023,0.009985032217149654,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.793299606147704,39232087.07319023,2.8326087168564575e-05,18
32,484,[0.29526981 0.01050163],[1.13429637 0.01953368],[1.81763971e-01 2.83260872e-05],[0.18580323 0.00766867],100.0,100.0,46137693.985534534,39232087.07319023,0.010501634413746762,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.794912285154923,39560714.493408635,2.8326087168564575e-05,16
33,476,[0.28381524 0.0105652 ],[1.13429637 0.0193547 ],[1.81763971e-01 2.83260872e-05],[0.16990389 0.00755002],100.0,100.0,45435807.02247295,39232087.07319023,0.010565195838738276,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.794928423215528,39560714.493408635,2.8326087168564575e-05,15
34,491,[0.27571743 0.01062778],[1.13429637 0.0193547 ],[1.74925001e-01 1.65300408e-05],[0.16017982 0.00751018],100.0,100.0,44944728.65465949,38817056.24616788,0.010627780268405825,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.81192986588564,38817056.24616788,1.65300407968806e-05,24
35,491,[0.272711  0.0105643],[1.13429637 0.01930609],[1.74925001e-01 1.65300408e-05],[0.15986735 0.00754417],100.0,100.0,44757735.90058568,38817056.24616788,0.010564295721542279,1.65300407968806e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.811977139096684,38817056.24616788,1.65300407968806e-05,20
