name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
74,300,548,650,303.0282142,356.5037814,0.008371382,0.003898989,275.2435357,13.0,250,24,400,37525.71589,113.427111,4.741510004,22,50,3,4,2,2,1
75,300,567,650,303.7959058,357.4069479,0.006455687,0.00291123,237.7607789,10.0,250,24,500,31876.55635,102.27041,4.702803924,16,40,4,6,2,3,1
76,300,517,600,305.1923949,359.0498764,0.007647759,0.00333441,228.004966,10.0,250,30,500,31284.81125,98.05874483,4.353846551,16,40,4,6,2,3,1
77,300,567,650,305.8145675,359.7818442,0.008133188,0.004040283,237.7607789,10.0,200,24,400,36560.04298,111.4946875,4.734962161,16,40,4,7,2,4,1
78,400,479,550,307.1261185,361.3248454,0.008226493,0.003664244,267.8128468,10.0,150,24,400,41467.49552,126.2388404,5.343477225,22,50,5,4,1,2,1
79,400,429,500,307.8880838,362.2212751,0.01074512,0.004435258,212.5382131,10.0,200,27,400,40556.24663,120.3438563,4.877466146,22,50,5,5,1,2,1
80,300,501,600,311.1289967,366.0341138,0.007989056,0.003631181,299.6456154,10.0,150,30,500,33724.82438,102.9056989,4.370488436,22,50,3,4,2,2,1
81,400,401,500,312.4103044,367.5415346,0.011962669,0.005545025,298.7851709,10.0,100,30,400,46451.50541,132.0346023,4.917728125,22,50,5,6,2,3,1
82,400,479,550,313.4624022,368.7792967,0.006614252,0.002657222,312.5507107,10.0,150,27,500,37568.11474,118.5798443,5.316646023,22,50,5,4,1,2,1
83,400,417,500,314.1266572,369.5607732,0.009057116,0.004122222,237.016791,10.0,200,30,500,37643.27448,114.6286949,4.857405018,16,40,6,8,2,4,1
84,300,617,700,314.337548,369.80888,0.005700662,0.002293935,258.7273379,10.0,250,24,500,32441.17743,106.4287993,5.051574659,16,40,4,6,2,3,1
85,400,492,550,314.559158,370.0695976,0.006589758,0.002887148,313.7228435,10.0,150,24,500,38585.67473,120.5869896,5.323624681,16,40,6,6,1,3,1
86,300,498,600,314.5868396,370.1021642,0.010192624,0.004818426,300.5892283,13.0,200,30,400,39119.03725,113.5405598,4.407497471,22,50,3,5,2,2,1
87,300,492,600,315.5895985,371.2818806,0.01170508,0.005041293,216.9795808,10.0,200,30,400,38167.98915,111.6019681,4.401144941,16,40,4,9,3,4,1
88,500,439,500,315.808065,371.5389,0.006289306,0.002927612,352.9262814,13.0,200,24,500,44471.95784,138.2929549,6.053775053,16,40,8,7,1,3,1
89,400,429,500,316.7963641,372.7016048,0.009935144,0.0048994,252.2608134,10.0,150,30,400,41533.72232,122.3009494,4.884091168,22,50,5,5,1,3,1
90,500,426,500,316.8766503,372.7960592,0.0065897,0.002976107,342.4751615,13.0,200,24,500,44167.09452,137.6833847,6.051706549,22,50,7,4,1,2,1
91,400,417,500,317.4237889,373.4397517,0.011995318,0.005182333,245.2045669,10.0,150,30,400,44346.02545,127.833252,4.903419253,16,40,6,10,2,5,1
92,300,529,600,317.6436843,373.6984521,0.007102081,0.003308719,316.3922766,10.0,150,30,500,32991.89762,101.4661157,4.365445249,22,50,3,3,1,2,1
93,300,517,600,318.2254808,374.3829186,0.010579239,0.004388872,268.610051,10.0,150,30,400,38521.64494,112.3359054,4.403471764,16,40,4,8,2,4,1
94,300,576,650,319.8579809,376.303507,0.006555787,0.00263616,488.086951,13.0,150,24,500,38361.10785,115.1756602,4.746965982,22,50,3,3,1,2,1
95,400,467,550,321.6275273,378.3853263,0.009565285,0.004703784,261.1035479,10.0,150,24,400,44804.83683,132.8024005,5.366418039,16,40,6,9,2,5,1
96,500,414,500,322.7119474,379.6611146,0.010006982,0.004161032,346.5657658,13.0,150,24,400,54457.51509,157.981553,6.122279972,16,40,8,10,2,5,1
97,300,492,600,324.0229486,381.203469,0.012211707,0.005164562,255.6211704,10.0,150,30,400,40411.1793,116.0472476,4.416473438,16,40,4,10,3,4,1
98,300,542,650,324.6281527,381.9154737,0.009907723,0.004310394,207.7763911,10.0,250,27,400,37459.715,113.2366102,4.741221013,16,40,4,9,3,4,1
99,300,517,600,325.2387376,382.6338089,0.00822893,0.004107981,303.7658303,10.0,150,27,500,35350.7156,106.1077023,4.381652954,16,40,4,7,2,4,1
100,500,467,550,328.0797146,385.9761349,0.007687014,0.003123733,363.0575291,10.0,100,24,400,52588.25264,159.3637414,6.684304778,16,40,8,9,2,4,1
101,300,564,650,328.7729214,386.7916722,0.008926834,0.003982258,559.0646918,13.0,100,27,400,49034.16199,136.2953913,4.819982294,16,40,4,8,2,4,1
102,300,576,650,330.9210576,389.3188914,0.006459413,0.002754295,494.5058864,13.0,150,27,500,38390.32445,115.2330462,4.747167018,22,50,3,3,1,2,1
103,400,514,600,331.2297836,389.6820983,0.006343049,0.002685708,637.5867492,13.0,100,24,500,51128.28303,149.5645357,5.869027444,16,40,6,7,2,3,1
104,300,551,650,332.6040065,391.2988312,0.008956295,0.004309192,237.1918158,10.0,200,27,400,37261.97095,112.867011,4.739809342,22,50,3,4,2,2,1
105,300,567,650,334.6451766,393.7002078,0.006955183,0.003282778,244.0794185,10.0,250,27,500,33027.79478,104.531623,4.710725466,16,40,4,6,2,3,1
106,300,564,650,335.8338689,395.0986693,0.007329622,0.003386561,665.0710012,13.0,100,24,500,46151.17937,130.6327608,4.800144813,16,40,4,7,2,3,1
107,400,514,600,336.4275317,395.7970961,0.007971686,0.003789609,330.5769634,13.0,200,24,400,46741.17745,140.7213842,5.83945401,16,40,6,8,2,4,1
108,500,442,500,336.4947107,395.8761302,0.006696593,0.002915118,403.9032018,10.0,100,27,500,46862.77165,143.0303786,6.070113395,16,40,8,7,1,3,1
109,300,548,650,337.6356359,397.2183952,0.010031087,0.004338554,391.6232073,13.0,150,24,400,44375.09077,126.988067,4.788347525,22,50,3,5,2,2,1
110,400,476,550,338.150035,397.8235706,0.007188901,0.003520928,432.498561,13.0,150,24,500,43863.69143,131.0552843,5.359666867,22,50,5,4,1,2,1
111,300,567,650,339.8992921,399.8815202,0.009491052,0.004620608,282.2928548,10.0,150,24,400,40745.25309,119.7570546,4.763646274,16,40,4,8,2,4,1
112,400,464,550,340.1890479,400.2224093,0.009536885,0.004563739,311.8349805,13.0,200,30,400,46166.07186,135.5209742,5.375662726,16,40,6,9,2,5,1
113,300,598,700,340.7875704,400.9265534,0.006469289,0.002648877,705.1639339,13.0,100,24,500,46181.33359,133.7403854,5.145240622,22,50,3,4,2,2,1
114,500,414,500,341.0484078,401.2334209,0.010243498,0.004325271,299.3039476,13.0,200,27,400,52184.63006,153.4418542,6.106845087,16,40,8,11,2,5,1
115,400,464,550,344.2753029,405.0297681,0.008348512,0.003420886,351.5049201,13.0,200,27,500,42804.18342,128.9176974,5.352529948,16,40,6,8,2,4,1
116,300,517,600,344.6163247,405.4309702,0.008793677,0.004096835,258.4587798,10.0,200,30,500,34497.08208,104.3917302,4.375885841,16,40,4,7,2,4,1
117,500,442,500,344.8170123,405.6670733,0.007164701,0.003187693,308.9073024,10.0,150,24,500,44682.04021,138.6578539,6.055350135,16,40,8,8,1,4,1
118,300,598,700,346.9743047,408.2050644,0.008312703,0.003630923,347.9813425,13.0,200,24,400,41784.26161,124.8884292,5.115569384,22,50,3,4,2,2,1
119,400,517,600,349.2657336,410.900863,0.00632078,0.002931035,337.3459654,10.0,150,27,500,40971.37047,129.3408415,5.799882143,16,40,6,7,2,3,1
120,500,429,500,350.4278884,412.268104,0.006982975,0.003378254,307.7897429,10.0,150,27,500,43845.09834,137.005471,6.04961429,22,50,7,4,1,2,1
121,400,451,550,350.9619476,412.896409,0.011054152,0.004955664,223.4376086,10.0,200,27,400,44665.11931,132.4796427,5.365587801,22,50,5,6,2,3,1
122,300,542,650,351.2642963,413.2521133,0.010967975,0.004875066,275.8861198,10.0,150,27,400,42110.32594,122.438272,4.773039187,16,40,4,10,3,5,2
123,300,626,700,352.3800199,414.5647293,0.005724873,0.002739353,322.7295767,13.0,300,24,500,34708.10839,110.9179477,5.067074007,22,50,3,3,1,2,1
124,300,614,700,354.2539302,416.7693296,0.0083852,0.003731559,438.7895059,13.0,150,24,400,45811.73977,132.8851952,5.143048202,16,40,4,8,2,4,1
125,400,464,550,356.4053855,419.3004535,0.01059642,0.004584812,311.8349805,13.0,200,30,400,47724.42985,138.581834,5.386385613,16,40,6,10,2,5,1
126,500,476,550,357.6363588,420.7486574,0.007741823,0.003114064,398.4669191,13.0,150,24,400,53884.10766,161.930567,6.693162902,22,50,7,5,1,2,1
