name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
333,400,514,600,383.7895303,451.5170945,0.007006873,0.003493004,389.3826055,13,200,27,500,44726.04719,136.7633519,5.825588124,16,40,6,7,2,4,1
334,400,517,600,385.5478897,453.5857526,0.00989812,0.004364852,370.26913,10,100,24,400,52476.08673,152.0271364,5.878802697,16,40,6,10,2,5,1
335,300,614,700,385.7792173,453.8579027,0.00692602,0.003154857,527.1295386,13,150,27,500,42897.91602,127.1619879,5.122998507,16,40,4,7,2,3,1
336,300,639,750,385.9341456,454.0401713,0.008618034,0.003727933,371.8395951,13,200,24,400,45662.77033,135.5736752,5.487094144,16,40,4,9,3,4,1
337,400,476,550,386.5513349,454.7662763,0.008314494,0.004015898,360.5955646,13,200,27,500,43656.2933,130.5806042,5.358422447,22,50,5,4,1,2,1
338,400,529,600,386.8480784,455.1153864,0.008904989,0.003918321,229.2921582,10,250,24,400,44229.05503,135.6629663,5.822505428,22,50,5,5,1,3,1
339,400,529,600,387.5882714,455.9862016,0.008748977,0.004067233,254.2206959,10,200,24,400,45203.84205,137.6030941,5.829143654,22,50,5,5,1,3,1
340,500,429,500,387.6548039,456.0644751,0.007881824,0.003612069,273.2090403,10,200,30,500,44088.77075,137.4415934,6.051406263,22,50,7,5,1,2,1
341,300,667,750,388.0886994,456.5749405,0.007984591,0.003353451,248.2622624,10,250,24,400,40017.87441,124.3600066,5.448594703,16,40,4,8,2,4,1
342,400,464,550,388.5514119,457.1193081,0.009138769,0.004179154,588.9800012,13,100,30,500,53268.72182,149.6844177,5.42395805,16,40,6,9,2,4,1
343,400,479,550,388.7524221,457.3557907,0.010252689,0.004817421,356.9029847,10,100,30,400,49283.41843,141.6702061,5.397041546,22,50,5,5,1,3,1
344,300,679,750,389.11793,457.7858,0.005732646,0.002313183,258.0616034,10,300,24,500,34228.24106,112.9651015,5.408819718,22,50,3,3,1,2,1
345,500,429,500,390.280044,459.1529929,0.010577442,0.004811051,240.4025805,10,200,27,400,50579.7628,150.190921,6.096070053,22,50,7,6,1,3,1
346,500,417,500,390.612848,459.544527,0.01182125,0.004995294,339.256812,10,100,30,400,57601.38917,164.1227096,6.144004619,16,40,8,12,2,5,1
347,500,429,500,391.1733623,460.2039557,0.009977612,0.004671044,281.6324356,10,150,30,400,50990.80235,151.0407556,6.098783079,22,50,7,6,1,3,1
348,400,451,550,391.2592939,460.3050517,0.012135515,0.005684649,265.1972654,10,150,30,400,48744.04202,140.5311203,5.393546327,22,50,5,6,2,3,1
349,300,664,750,391.7682444,460.9038169,0.007893309,0.003560233,298.2530698,13,300,24,400,41909.83658,128.1224404,5.461487388,16,40,4,8,2,4,1
350,400,498,600,392.6952622,461.9944261,0.009589051,0.004681237,393.7869162,13,150,27,400,52401.44072,151.9000646,5.878236033,22,50,5,6,2,3,1
351,300,614,700,392.7800337,462.0941572,0.007336815,0.002990992,425.2575064,13,200,27,500,40333.87514,122.0504132,5.105560211,16,40,4,7,2,3,1
352,300,567,650,393.6283541,463.0921812,0.008402685,0.00386997,450.4500778,10,100,30,500,41561.77955,121.4447555,4.769037003,16,40,4,7,2,4,1
353,400,514,600,393.6885312,463.1629779,0.009536903,0.003956711,345.4378879,13,200,30,400,49508.57749,146.1569924,5.85849618,16,40,6,10,2,4,1
354,400,529,600,394.4797994,464.0938816,0.008992169,0.004156076,295.7682588,10,150,24,400,47393.84998,141.947102,5.844097563,22,50,5,5,1,3,1
355,400,517,600,395.1329717,464.8623196,0.009493041,0.004556494,377.9510504,1.00E+01,100,27,400,52133.13033,151.3535162,5.876442853,16,40,6,10,2,5,1
356,300,651,750,395.380874,465.1539694,0.008086153,0.003609907,426.3728593,10,100,24,400,46229.68725,136.7184021,5.490910341,22,50,3,5,2,2,1
357,300,551,650,397.7676944,467.9619934,0.008545027,0.004211461,242.9994899,10,250,30,500,35683.41628,109.742582,4.729012335,22,50,3,4,2,2,1
358,500,517,600,398.1842433,468.4520509,0.007830333,0.003143031,280.1135298,10,200,24,400,51835.94769,162.8239437,7.254329641,16,40,8,10,2,4,1
359,400,567,650,398.5965728,468.9371445,0.008159224,0.003685278,272.482296,1.00E+01,200,24,400,47159.99062,145.5169657,6.302435362,16,40,6,9,2,5,1
360,500,479,550,398.6229198,468.9681409,0.007045155,0.002862501,428.8174885,10,100,24,500,50918.44426,156.071229,6.672849601,22,50,7,5,1,2,1
361,500,479,550,398.6387662,468.9867837,0.006456394,0.002954584,296.6369583,10,200,27,500,44753.5991,143.8270732,6.63079748,22,50,7,4,1,2,1
362,300,667,750,398.9466758,469.3490304,0.006093226,0.002946671,279.6938969,10,250,24,500,36444.77235,117.3418732,5.424008588,16,40,4,6,2,3,1
363,500,467,550,400.1655842,470.7830402,0.007342514,0.0032536,289.2055522,10,200,27,500,46711.66164,147.6793888,6.644253395,16,40,8,9,2,4,1
364,400,529,600,401.3673529,472.1968858,0.006998081,0.003093031,449.0449529,1.00E+01,100,27,500,45655.71997,138.6181187,5.831907105,22,50,5,4,1,2,1
365,500,464,550,401.4073737,472.2439691,0.007347065,0.003334254,458.6273322,13,150,27,500,53619.02867,161.4242714,6.691299955,16,40,8,9,2,4,1
366,300,589,700,401.559984,472.4235106,0.010688515,0.004592117,302.4003812,13,250,27,400,44781.57522,130.7411571,5.136287087,16,40,4,10,3,5,2
367,500,464,550,401.6076036,472.4795336,0.007384681,0.00296462,389.7937256,13,200,30,500,49929.40412,154.0973858,6.666128822,16,40,8,9,2,4,1
368,300,601,700,401.6498464,472.529231,0.007459788,0.003041498,477.4611935,10,100,30,500,41376.17864,124.1264044,5.112654191,22,50,3,4,2,2,1
369,500,479,550,401.8605329,472.7770975,0.008885204,0.003844222,372.3866305,10,100,24,400,56169.5188,166.3851639,6.708981657,22,50,7,6,1,3,1
370,300,589,700,401.8863114,472.8074252,0.009933132,0.004721336,590.0541314,13,100,30,400,54424.71732,149.953227,5.20190397,16,40,4,9,3,5,2
371,500,464,550,401.9379994,472.8682346,0.009669444,0.004061467,397.0395498,13,150,27,400,59116.34375,172.2218614,6.729126364,16,40,8,11,2,5,1
372,500,476,550,402.5405989,473.5771752,0.006914091,0.003141231,382.6717767,13,200,24,500,49451.46607,153.1478696,6.662869409,22,50,7,5,1,2,1
373,500,429,500,402.6488486,473.7045277,0.008394397,0.00375156,315.3260168,10,150,30,500,46819.64201,142.8479418,6.070081792,22,50,7,5,1,2,1
374,500,479,550,403.284803,474.4527094,0.007121348,0.002938541,334.7660585,10,150,24,500,47708.02473,149.675173,6.651004056,22,50,7,5,1,2,1
375,400,579,650,403.4702092,474.6708344,0.006033214,0.002463046,312.3550323,10,200,24,500,41329.85959,134.0592997,6.262336177,22,50,5,4,1,2,1
376,500,429,500,403.6910845,474.9306877,0.010940361,0.005177116,341.4833241,10,100,27,400,56727.03494,162.392594,6.138022873,22,50,7,6,1,3,1
377,300,664,750,404.5439781,475.9340919,0.00647882,0.002732322,562.6557907,13,150,24,500,44621.3144,133.6079758,5.479711242,16,40,4,7,2,3,1
378,400,526,600,404.6701852,476.0825708,0.007290351,0.002998374,346.1103617,13,250,27,500,42688.55989,132.7075528,5.811714533,22,50,5,4,1,2,1
379,500,492,550,405.241901,476.7551776,0.00673087,0.002768747,449.5936093,10,100,27,500,51132.12826,156.5036845,6.674285349,16,40,8,8,1,4,1
380,500,464,550,406.4337929,478.1574034,0.009875129,0.004687461,326.8337522,13,200,24,400,57524.44887,169.0152463,6.718389474,16,40,8,12,2,6,1
381,400,514,600,407.0113949,478.8369352,0.008041338,0.003382807,389.3826055,13,200,27,500,46202.57535,139.6634851,5.835747949,16,40,6,8,2,4,1
382,400,464,550,407.2224294,479.085211,0.012316459,0.005923586,373.4227629,13,150,30,400,54879.37832,152.7061841,5.435425607,16,40,6,12,2,6,1
383,500,489,550,408.9489764,481.1164429,0.006531063,0.003063554,483.3378565,13,150,27,500,52591.97161,159.4069701,6.68423289,16,40,8,8,1,4,1
384,300,548,650,409.0575697,481.2441996,0.009031295,0.004302937,330.7688697,13,250,30,500,38884.67862,116.0963272,4.750860875,22,50,3,4,2,2,1
385,300,648,750,409.1661782,481.3719744,0.008702363,0.003600162,325.4704583,13,250,24,400,43668.06646,131.5992168,5.473522247,22,50,3,5,2,2,1
386,400,564,650,409.2393523,481.4580615,0.008179401,0.004047277,437.5952669,13,150,24,400,54596.74624,160.3016506,6.353124585,16,40,6,9,2,5,1
387,300,642,750,410.4849505,482.9234712,0.009044358,0.003841999,246.1115186,10,250,27,400,41674.20593,127.6133018,5.459991735,16,40,4,9,3,4,1
388,500,429,500,411.6123452,484.2498179,0.008900933,0.003681604,273.2090403,10,200,30,500,45903.17307,141.0053644,6.063890962,22,50,7,5,1,2,1
389,500,489,550,411.6554333,484.3005098,0.006442948,0.003202483,645.6030806,13,100,27,500,58870.73594,171.8992163,6.727002844,16,40,8,8,1,4,1
390,300,598,700,411.6971166,484.3495489,0.007206613,0.003578772,519.6963295,13,150,30,500,42948.27392,127.2465376,5.123383982,22,50,3,4,2,2,1
391,500,479,550,411.8979987,484.5858808,0.006576026,0.003221344,437.7141034,10,100,27,500,50713.20945,155.6681156,6.671437403,22,50,7,4,1,2,1
392,400,498,600,412.8090203,485.657671,0.010796304,0.004677041,525.9882767,13,100,27,400,59820.57067,166.6160117,5.928896554,22,50,5,6,2,3,1
393,400,576,650,413.6154955,486.6064653,0.006032046,0.002743745,427.7923548,13,200,24,500,45367.05355,142.0824306,6.28986209,22,50,5,4,1,2,1
394,500,464,550,413.727944,486.7387577,0.007893274,0.003269533,612.5967881,13,100,27,500,60669.20466,175.4316912,6.739377905,16,40,8,9,2,4,1
395,400,564,650,413.9170086,486.9611865,0.006553787,0.003097384,362.7342555,13,250,24,500,45136.32604,141.5920862,6.28837531,16,40,6,8,2,4,1
396,300,639,750,414.1174001,487.1969412,0.009099557,0.003921097,633.4084008,13,100,27,400,55941.06436,156.0015093,5.557167654,16,40,4,9,3,4,1
397,400,564,650,414.3788687,487.5045514,0.006793204,0.002889623,362.7342555,13,250,24,500,45191.81737,141.7010798,6.288757139,16,40,6,8,2,4,1
398,500,426,500,414.4220914,487.5554016,0.008499626,0.004163762,428.5509078,13,150,30,500,52072.1517,153.2819637,6.105905522,22,50,7,5,1,3,1
399,400,526,600,415.521774,488.8491458,0.007259938,0.003346917,485.7447304,13,150,27,500,47654.28851,142.5759123,5.84557141,22,50,5,4,1,2,1
