name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
346,900,750,14174.8004,982.5225797,722.5709601,0,0,14,29,0.013699671,5,5,4,4,181.25,191.6666667,13,200,40,500,60,25,140542.8233,413.363365,16.48666126,133103334.6
347,850,750,12690.6434,747.3659657,603.9924828,0,0,26,29,0.026938849,9,9,6,6,84.375,115.0,13,250,30,500,60,25,195774.6206,514.1530529,16.004683,133481526.4
348,1000,750,13637.2182,784.876183,447.5102869,0,0,16,29,0.01409109,5,5,5,5,207.75,145.25,10,400,35,400,60,25,146770.687,440.5515489,18.25473297,133528899.0
349,1000,850,12646.23549,894.9867685,674.3174104,0,0,26,25,0.015014965,6,6,9,9,169.8,87.375,13,250,27,400,50,25,180920.0555,528.1481561,20.7884258,134279454.7
350,1000,700,12626.37055,722.6709376,359.4378392,0,0,26,29,0.024533595,7,7,8,8,138.5,75.85714286,10,450,30,400,60,25,193438.8649,522.0548991,17.4262209,135154940.2
351,950,750,12435.43544,1390.811672,982.2433434,0,0,24,29,0.02224909,6,6,8,8,155.0,82.14285714,13,100,27,500,60,25,210598.6381,558.9781125,17.82986152,135493901.7
352,850,700,13850.15945,905.9559538,656.4398505,0,0,28,25,0.023099946,11,11,5,5,69.9,137.25,13,200,40,500,50,25,168460.8197,451.953142,14.83932339,135642643.7
353,900,800,13615.86901,683.2961784,546.4634831,0,0,16,32,0.017872172,6,6,4,4,144.4,207.3333333,13,450,35,400,60,25,164345.1643,469.03899,17.68570741,135691000.8
354,800,800,13454.17225,844.7597979,844.7597979,0,0,22,29,0.02270537,5,5,8,8,157.75,90.14285714,10,100,35,500,60,25,180879.0857,485.543468,15.95929131,137018911.3
355,850,850,13634.28151,692.4402195,692.4402195,0,0,26,25,0.017664665,9,9,6,6,87.375,139.8,13,300,35,400,50,25,167385.8203,475.6130283,17.76385711,137605415.5
356,900,800,12938.51,781.6413367,637.2363525,0,0,28,25,0.019089539,6,6,10,10,149.8,72.11111111,13,300,30,500,50,25,174814.0,489.6959709,17.75748576,137953546.2
357,1050,800,13420.07337,965.6879844,592.9060858,0,0,14,29,0.011008664,5,5,4,4,218.75,208.3333333,13,350,30,500,60,25,148637.2758,462.6033255,20.33664858,138239842.6
358,850,750,14036.62306,647.3322966,510.0610339,0,0,22,29,0.022794411,6,6,7,7,135.0,95.83333333,13,450,40,400,60,25,170207.2637,463.8045423,15.8291102,138544794.4
359,900,750,13588.85312,733.5592376,524.7272806,0,0,16,32,0.01906365,4,4,6,6,242.6666667,115.6,10,250,35,500,60,25,160938.6201,453.223967,16.62754499,138647035.5
360,950,750,14500.17683,865.7944951,561.3402607,0,0,16,25,0.011023132,7,7,3,3,134.1666667,302.5,10,250,40,500,50,25,125423.888,391.0864576,17.24539831,138887371.5
361,1000,700,12853.92148,841.1291984,438.9342857,0,0,18,32,0.020680656,4,4,7,7,276.0,88.0,10,250,30,500,60,25,175683.2447,487.262784,17.30382203,138901640.5
362,900,850,12720.62727,743.1986739,672.6645803,0,0,18,32,0.018923476,4,4,7,7,240.6666667,112.0,13,300,27,500,60,25,184171.034,517.2054847,18.85657439,139173423.9
363,1050,800,12719.38284,1052.646982,664.9548745,0,0,28,25,0.016362462,7,7,9,9,149.8333333,81.125,13,200,27,400,50,25,191186.6651,546.3735744,20.62889278,139287723.5
364,950,750,13019.67148,765.538548,497.4086062,0,0,18,32,0.020317837,6,6,5,5,155.6,144.5,10,250,30,500,60,25,176683.2447,491.762784,17.59812203,139454370.6
365,950,850,13192.86212,1033.090309,861.9289491,0,0,26,25,0.015805226,5,5,10,10,199.75,77.66666667,13,150,30,400,50,25,185994.5697,529.7124395,19.84552372,139527202.1
366,800,800,14080.82306,677.3028875,677.3028875,0,0,22,29,0.02270537,7,7,6,6,105.1666667,126.2,10,150,40,400,60,25,175289.1451,474.4194863,15.92121954,139708501.7
367,900,900,12858.64424,595.7090528,595.7090528,0,0,16,32,0.015886375,4,4,6,6,242.6666667,145.6,10,400,27,500,60,25,169593.0694,497.5543211,19.79137215,140119457.3
