name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume,original_name
890,900,900,14652.04006,824.1876062,824.1876062,0,0,24,29,0.019570959,4,4,10,10,241.6666667,80.55555556,13,250,30,500,60,25,200977.2596,559.4095693,20.00674862,185747515.7,445
891,1050,750,16163.8004,1011.89393,539.3727479,0,0,14,29,0.011742575,3,3,6,6,437.5,115.0,13,450,40,500,60,25,142075.526,439.0034432,19.08450325,186681086.6,446
892,750,1050,16163.8004,539.3727479,1011.89393,0,0,14,29,0.011742575,6,6,3,3,115.0,437.5,13,450,40,500,60,25,142075.526,439.0034432,19.08450325,186681086.6,446
893,1000,700,15028.43993,1036.537389,560.3241566,0,0,26,29,0.024533595,8,8,7,7,118.7142857,88.5,10,150,35,500,60,25,201440.1523,537.9774611,17.48071578,186982994.4,447
894,700,1000,15028.43993,560.3241566,1036.537389,0,0,26,29,0.024533595,7,7,8,8,88.5,118.7142857,10,150,35,500,60,25,201440.1523,537.9774611,17.48071578,186982994.4,447
895,1050,800,14710.32148,1328.62796,861.294028,0,0,18,32,0.01723388,4,4,7,7,290.6666667,103.6666667,13,150,30,500,60,25,202049.2466,567.8431278,20.7032741,188139805.1,448
896,800,1050,14710.32148,861.294028,1328.62796,0,0,18,32,0.01723388,7,7,4,4,103.6666667,290.6666667,13,150,30,500,60,25,202049.2466,567.8431278,20.7032741,188139805.1,448
897,900,850,16142.06814,710.6360056,636.9638882,0,0,22,25,0.014116634,5,5,8,8,188.75,100.7142857,10,400,40,500,50,25,149888.1424,449.720919,18.62107811,188276066.4,449
898,850,900,16142.06814,636.9638882,710.6360056,0,0,22,25,0.014116634,8,8,5,5,100.7142857,188.75,10,400,40,500,50,25,149888.1424,449.720919,18.62107811,188276066.4,449
899,900,650,15464.62948,1117.328811,662.3615069,0,0,32,29,0.036131001,11,11,7,7,72.5,79.16666667,13,150,40,500,60,25,229231.0235,569.3935004,15.02725124,188466295.3,450
900,650,900,15464.62948,662.3615069,1117.328811,0,0,32,29,0.036131001,7,7,11,11,79.16666667,72.5,13,150,40,500,60,25,229231.0235,569.3935004,15.02725124,188466295.3,450
901,1100,900,14509.48284,872.461186,595.1436541,0,0,28,25,0.013883301,6,6,10,10,191.0,83.88888889,10,350,27,400,50,25,192336.0444,578.7808393,24.08659176,188890104.8,451
902,900,1100,14509.48284,595.1436541,872.461186,0,0,28,25,0.013883301,10,10,6,6,83.88888889,191.0,10,350,27,400,50,25,192336.0444,578.7808393,24.08659176,188890104.8,451
903,1100,750,14573.04643,1062.9647,538.1944989,0,0,30,25,0.017849958,7,7,10,10,158.1666667,66.55555556,13,350,30,500,50,25,190246.7805,541.2940692,20.27803928,189308176.8,452
904,750,1100,14573.04643,538.1944989,1062.9647,0,0,30,25,0.017849958,10,10,7,7,66.55555556,158.1666667,13,350,30,500,50,25,190246.7805,541.2940692,20.27803928,189308176.8,452
905,950,900,14909.22148,750.482918,679.1381799,0,0,18,32,0.016931531,5,5,6,6,193.0,144.4,13,450,30,500,60,25,188337.8062,543.5693614,20.95487579,190647953.2,453
906,900,950,14909.22148,679.1381799,750.482918,0,0,18,32,0.016931531,6,6,5,5,144.4,193.0,13,450,30,500,60,25,188337.8062,543.5693614,20.95487579,190647953.2,453
907,1050,850,14277.24861,1039.684679,724.5946486,0,0,28,29,0.020722192,7,7,9,9,145.8333333,84.375,13,200,27,400,60,25,232399.0444,637.9743915,22.11962351,191210374.4,454
908,850,1050,14277.24861,724.5946486,1039.684679,0,0,28,29,0.020722192,9,9,7,7,84.375,145.8333333,13,200,27,400,60,25,232399.0444,637.9743915,22.11962351,191210374.4,454
909,1050,900,15103.29273,998.5392261,759.480615,0,0,20,29,0.013979256,4,4,8,8,291.6666667,103.5714286,13,250,30,400,60,25,192498.6406,570.1756472,23.05244692,191226825.2,455
910,900,1050,15103.29273,759.480615,998.5392261,0,0,20,29,0.013979256,8,8,4,4,103.5714286,291.6666667,13,250,30,400,60,25,192498.6406,570.1756472,23.05244692,191226825.2,455
911,850,750,15030.66645,706.6390119,565.1138444,0,0,32,29,0.033155506,10,10,8,8,75.66666667,83.0,10,200,35,500,60,25,223616.5676,568.7627332,16.19646729,191543556.3,456
912,750,850,15030.66645,565.1138444,706.6390119,0,0,32,29,0.033155506,8,8,10,10,83.0,75.66666667,10,200,35,500,60,25,223616.5676,568.7627332,16.19646729,191543556.3,456
913,1150,850,14587.94371,1872.250795,1198.603318,0,0,24,25,0.012052146,4,4,10,10,333.0,77.66666667,13,100,27,500,50,25,207248.301,606.3404997,23.89959656,191603871.6,457
914,850,1150,14587.94371,1198.603318,1872.250795,0,0,24,25,0.012052146,10,10,4,4,77.66666667,333.0,13,100,27,500,50,25,207248.301,606.3404997,23.89959656,191603871.6,457
915,900,850,14707.24674,770.2651135,696.7617803,0,0,28,29,0.02417589,11,11,5,5,72.5,168.75,13,300,30,500,60,25,215391.6477,578.5276721,19.07139994,192527465.5,458
916,850,900,14707.24674,696.7617803,770.2651135,0,0,28,29,0.02417589,5,5,11,11,168.75,72.5,13,300,30,500,60,25,215391.6477,578.5276721,19.07139994,192527465.5,458
917,1000,800,16406.7825,882.8855436,576.7202417,0,0,18,29,0.014861697,9,9,2,2,103.125,625.0,13,450,40,400,60,25,163604.4831,483.8255383,19.52006071,192640205.1,459
918,800,1000,16406.7825,576.7202417,882.8855436,0,0,18,29,0.014861697,2,2,9,9,625.0,103.125,13,450,40,400,60,25,163604.4831,483.8255383,19.52006071,192640205.1,459
919,950,750,15964.41737,750.6869778,471.9292258,0,0,22,32,0.024832912,9,9,4,4,97.25,192.6666667,10,400,40,400,60,25,198978.8293,535.4850256,17.75172482,194656479.3,460
920,750,950,15964.41737,471.9292258,750.6869778,0,0,22,32,0.024832912,4,4,9,9,192.6666667,97.25,10,400,40,400,60,25,198978.8293,535.4850256,17.75172482,194656479.3,460
921,900,850,15395.30686,1187.83658,1086.545126,0,0,28,29,0.02417589,8,8,8,8,103.5714286,96.42857143,13,100,35,400,60,25,236369.5436,620.273685,19.21427544,194940017.2,461
922,850,900,15395.30686,1086.545126,1187.83658,0,0,28,29,0.02417589,8,8,8,8,96.42857143,103.5714286,13,100,35,400,60,25,236369.5436,620.273685,19.21427544,194940017.2,461
923,1050,900,15308.86115,1009.738634,768.8430856,0,0,14,32,0.011914781,4,4,5,5,290.6666667,180.5,13,300,30,500,60,25,174964.2795,535.674015,22.93196154,194983001.5,462
924,900,1050,15308.86115,768.8430856,1009.738634,0,0,14,32,0.011914781,5,5,4,4,180.5,290.6666667,13,300,30,500,60,25,174964.2795,535.674015,22.93196154,194983001.5,462
925,1050,700,16011.84333,1105.580804,534.0731024,0,0,24,29,0.021567995,8,8,6,6,125.0,105.0,13,250,40,400,60,25,194560.4802,531.5801783,18.23811003,195004251.9,463
926,700,1050,16011.84333,534.0731024,1105.580804,0,0,24,29,0.021567995,6,6,8,8,105.0,125.0,13,250,40,400,60,25,194560.4802,531.5801783,18.23811003,195004251.9,463
927,1000,1000,14856.45871,863.432511,863.432511,0,0,24,25,0.011780972,7,7,7,7,141.5,141.5,13,350,27,500,50,25,182255.3402,561.1225078,24.24685602,195139354.4,464
928,1000,1000,14856.45871,863.432511,863.432511,0,0,24,25,0.011780972,7,7,7,7,141.5,141.5,13,350,27,500,50,25,182255.3402,561.1225078,24.24685602,195139354.4,464
929,1050,800,14413.70332,1038.064391,652.564411,0,0,22,32,0.021063631,7,7,6,6,145.3333333,124.4,13,250,27,500,60,25,218098.4015,599.1349742,20.81433392,195642248.8,465
930,800,1050,14413.70332,652.564411,1038.064391,0,0,22,32,0.021063631,6,6,7,7,124.4,145.3333333,13,250,27,500,60,25,218098.4015,599.1349742,20.81433392,195642248.8,465
931,900,800,15464.97929,648.317357,515.870478,0,0,22,32,0.024574236,10,10,3,3,80.88888889,314.0,10,450,35,500,60,25,199078.7489,537.1898655,17.92489889,196456478.5,466
932,800,900,15464.97929,515.870478,648.317357,0,0,22,32,0.024574236,3,3,10,10,314.0,80.88888889,10,450,35,500,60,25,199078.7489,537.1898655,17.92489889,196456478.5,466
933,900,900,14293.76629,810.2889315,810.2889315,0,0,38,25,0.02302865,11,11,10,10,74.9,83.22222222,13,250,27,500,50,25,223072.354,602.8164207,20.15875911,196807462.9,467
934,900,900,14293.76629,810.2889315,810.2889315,0,0,38,25,0.02302865,10,10,11,11,83.22222222,74.9,13,250,27,500,50,25,223072.354,602.8164207,20.15875911,196807462.9,467
935,1000,750,16378.16492,1082.966085,655.1329178,0,0,16,32,0.017157285,7,7,3,3,137.0,286.0,13,250,40,500,60,25,172570.814,491.4320328,18.43170454,197188100.8,468
936,750,1000,16378.16492,655.1329178,1082.966085,0,0,16,32,0.017157285,3,3,7,7,286.0,137.0,13,250,40,500,60,25,172570.814,491.4320328,18.43170454,197188100.8,468
937,950,850,14825.46929,1004.071712,836.2286595,0,0,34,25,0.020668373,8,8,11,11,114.1428571,69.9,13,200,30,500,50,25,210950.2298,578.5856634,20.0176305,197685332.9,469
938,850,950,14825.46929,836.2286595,1004.071712,0,0,34,25,0.020668373,11,11,8,8,69.9,114.1428571,13,200,30,500,50,25,210950.2298,578.5856634,20.0176305,197685332.9,469
939,1100,950,15092.6703,964.8168085,737.9794363,0,0,16,29,0.010113223,4,4,6,6,310.3333333,156.2,10,250,27,500,60,25,174643.2923,555.2540334,25.22931267,198269625.7,470
940,950,1100,15092.6703,737.9794363,964.8168085,0,0,16,29,0.010113223,6,6,4,4,156.2,310.3333333,10,250,27,500,60,25,174643.2923,555.2540334,25.22931267,198269625.7,470
941,950,750,14459.56443,731.4358344,471.0208875,0,0,32,32,0.036120599,10,10,8,8,85.77777778,81.71428571,13,400,30,400,60,25,264574.3768,664.4052357,18.20286267,198650475.1,471
942,750,950,14459.56443,471.0208875,731.4358344,0,0,32,32,0.036120599,8,8,10,10,81.71428571,85.77777778,13,400,30,400,60,25,264574.3768,664.4052357,18.20286267,198650475.1,471
943,1000,950,14704.44264,810.3442985,737.9794363,0,0,26,29,0.018077386,10,10,5,5,92.33333333,195.25,10,200,27,400,60,25,219981.0134,625.0737747,23.35677793,199834062.9,472
944,950,1000,14704.44264,737.9794363,810.3442985,0,0,26,29,0.018077386,5,5,10,10,195.25,92.33333333,10,200,27,400,60,25,219981.0134,625.0737747,23.35677793,199834062.9,472
945,950,950,14702.89544,873.9318584,873.9318584,0,0,24,29,0.017565071,8,8,6,6,111.5714286,156.2,10,150,27,500,60,25,209019.7739,593.9881728,22.18894463,200225586.4,473
946,950,950,14702.89544,873.9318584,873.9318584,0,0,24,29,0.017565071,6,6,8,8,156.2,111.5714286,10,150,27,500,60,25,209019.7739,593.9881728,22.18894463,200225586.4,473
947,1050,750,14802.50571,1086.574277,613.9430335,0,0,36,25,0.022439948,12,12,8,8,82.27272727,86.42857143,10,150,30,500,50,25,213460.0352,579.3670411,19.57527633,201221915.1,474
948,750,1050,14802.50571,613.9430335,1086.574277,0,0,36,25,0.022439948,8,8,12,12,86.42857143,82.27272727,10,150,30,500,50,25,213460.0352,579.3670411,19.57527633,201221915.1,474
949,900,800,14762.45341,662.6242644,532.3835864,0,0,32,29,0.029356438,9,9,9,9,91.375,78.875,10,300,30,500,60,25,227832.6224,593.7186822,18.1226108,201769381.8,475
950,800,900,14762.45341,532.3835864,662.6242644,0,0,32,29,0.029356438,9,9,9,9,78.875,91.375,10,300,30,500,60,25,227832.6224,593.7186822,18.1226108,201769381.8,475
951,1000,950,15416.14562,1349.233757,1245.707091,0,0,18,32,0.015238378,8,8,3,3,117.4285714,386.0,13,100,30,400,60,25,224116.7238,633.8454074,23.38347576,202245344.3,476
952,950,1000,15416.14562,1245.707091,1349.233757,0,0,18,32,0.015238378,3,3,8,8,386.0,117.4285714,13,100,30,400,60,25,224116.7238,633.8454074,23.38347576,202245344.3,476
953,1000,900,16191.19063,831.5868592,680.7334484,0,0,24,25,0.013089969,9,9,5,5,106.875,188.75,10,300,35,400,50,25,170525.5816,517.7002881,21.86705351,203289906.2,477
954,900,1000,16191.19063,680.7334484,831.5868592,0,0,24,25,0.013089969,5,5,9,9,188.75,106.875,10,300,35,400,50,25,170525.5816,517.7002881,21.86705351,203289906.2,477
955,950,850,15798.44208,743.9960095,601.4251104,0,0,26,29,0.021267512,7,7,8,8,130.1666667,97.28571429,10,300,35,400,60,25,204450.2118,565.5534794,19.97362402,205026485.4,478
956,850,950,15798.44208,601.4251104,743.9960095,0,0,26,29,0.021267512,8,8,7,7,97.28571429,130.1666667,10,300,35,400,60,25,204450.2118,565.5534794,19.97362402,205026485.4,478
957,1100,900,14980.65694,1023.370277,716.4851263,0,0,26,25,0.012891637,3,3,12,12,474.5,68.09090909,13,350,27,500,50,25,189083.5199,572.5054504,24.06390467,205575866.0,479
958,900,1100,14980.65694,716.4851263,1023.370277,0,0,26,25,0.012891637,12,12,3,3,68.09090909,474.5,13,350,27,500,50,25,189083.5199,572.5054504,24.06390467,205575866.0,479
959,1100,800,14642.06984,1339.366369,806.5529617,0,0,34,25,0.018965581,11,11,8,8,95.5,93.57142857,10,100,27,500,50,25,221041.3312,613.2249552,21.75379618,205737272.9,480
960,800,1100,14642.06984,806.5529617,1339.366369,0,0,34,25,0.018965581,8,8,11,11,93.57142857,95.5,10,100,27,500,50,25,221041.3312,613.2249552,21.75379618,205737272.9,480
961,1100,900,14968.37267,1124.907173,797.0216173,0,0,20,32,0.016247429,6,6,6,6,184.4,144.4,13,200,27,400,60,25,222518.3887,638.3737347,24.29343184,206176810.7,481
962,900,1100,14968.37267,797.0216173,1124.907173,0,0,20,32,0.016247429,6,6,6,6,144.4,184.4,13,200,27,400,60,25,222518.3887,638.3737347,24.29343184,206176810.7,481
963,1150,900,15301.03533,1216.715266,798.4957633,0,0,18,29,0.011487302,8,8,3,3,139.2857143,362.5,13,250,27,500,60,25,190267.7209,584.0733816,25.10645537,206491600.6,482
964,900,1150,15301.03533,798.4957633,1216.715266,0,0,18,29,0.011487302,3,3,8,8,362.5,139.2857143,13,250,27,500,60,25,190267.7209,584.0733816,25.10645537,206491600.6,482
965,900,800,15473.97078,695.2003913,556.9939258,0,0,28,32,0.0312763,9,9,7,7,91.0,104.6666667,10,250,35,400,60,25,239773.2925,617.2030497,18.20468906,206738930.4,483
966,800,900,15473.97078,556.9939258,695.2003913,0,0,28,32,0.0312763,7,7,9,9,104.6666667,91.0,10,250,35,400,60,25,239773.2925,617.2030497,18.20468906,206738930.4,483
