name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
873,1250,850,20041.95247,1378.858423,695.3911014,0,0,30,32,0.022708171,9,9,8,8,134,96,13,300,30,500,60,25,285390.3044,776.4319176,26.39345724,432037093.1
874,1250,850,22148.23202,1322.157587,627.1499174,0,0,36,25,0.016631961,10,10,10,10,122.7777778,78.33333333,10,350,40,400,50,25,229001.0703,665.5137009,26.00588584,432685831.7
875,1350,1000,21033.38402,1406.550602,798.0579631,0,0,20,32,0.011914781,7,7,5,5,196.3333333,207,10,250,30,400,60,25,243387.2496,752.1907678,32.71525472,432806438.4
876,1150,1000,19569.01742,986.1781223,758.5268065,0,0,48,25,0.020488648,12,12,14,14,91.36363636,65.76923077,10,350,27,500,50,25,281946.3018,787.2619021,28.38211749,435497708.5
877,1150,900,20966.38803,1016.286222,627.0068868,0,0,32,32,0.02486563,9,9,9,9,122.25,91,10,450,35,400,60,25,287727.8551,775.2386574,25.77777783,435564857
878,1000,1000,20006.9628,779.5988622,779.5988622,0,0,34,32,0.027344422,10,10,9,9,92,103.5,10,350,30,500,60,25,298666.7688,789.6561099,25.04818674,436394340.2
879,1400,1000,20333.75361,1541.91352,834.9225643,0,0,28,29,0.013210397,8,8,8,8,175,117.8571429,13,300,27,400,60,25,270706.7578,816.1127411,34.05259129,437371117.5
880,1350,900,20496.23762,1452.448656,684.2641745,0,0,28,32,0.018534104,10,10,6,6,130.2222222,144.4,13,350,30,400,60,25,284139.6563,804.8881136,29.89143164,437553575.5
881,1200,900,22602.33553,1496.383865,899.9742767,0,0,18,32,0.013404129,5,5,6,6,255.5,144.4,13,250,40,500,60,25,214386.2793,640.5858229,26.30709205,438110163.3
882,1050,950,22155.84497,955.3694405,788.2609702,0,0,38,25,0.018699956,11,11,10,10,90.5,89.44444444,10,400,40,500,50,25,230284.2516,654.8180968,24.52021618,439007256.9
883,1350,900,21848.12731,1501.938456,696.4814731,0,0,24,29,0.013047306,7,7,7,7,196.8333333,121.8333333,10,250,35,400,60,25,230287.6666,699.0612792,29.52102613,439569202
884,1350,900,21892.88627,2263.157306,1185.64365,0,0,20,32,0.013238646,5,5,7,7,293,120.3333333,13,100,35,400,60,25,264066.4242,766.2343253,29.75121196,443892172.5
885,1150,950,20146.25401,964.4489399,664.9032914,0,0,44,29,0.026602173,13,13,11,11,81.75,78.1,10,400,30,400,60,25,318952.3275,848.2533066,27.31470356,445266175.8
886,1150,850,20105.49296,977.018926,544.6211522,0,0,36,32,0.029619353,12,12,8,8,88.90909091,96.85714286,10,450,30,500,60,25,307986.8658,803.3621171,24.59505951,448489340.8
887,1100,1000,20539.20247,1013.013467,850.4424046,0,0,30,32,0.021934029,10,10,7,7,102.4444444,137,13,400,30,500,60,25,285160.2642,783.5041375,27.25435819,448892330.7
888,1050,950,21331.20584,1127.093909,946.2817923,0,0,30,32,0.024187901,11,11,6,6,87.8,155.6,10,150,35,500,60,25,281738.2247,756.112279,24.87363976,449571700.3
889,1150,850,21123.59415,1341.656521,795.2413778,0,0,50,25,0.025108637,16,16,11,11,66.6,69.9,13,250,35,500,50,25,283908.5496,756.3316402,24.42866536,451720516.2
890,1250,900,20488.93786,1472.838697,836.3602231,0,0,46,25,0.020071286,13,13,12,12,91.58333333,68.09090909,13,250,30,500,50,25,281702.5284,781.9539279,27.80494381,454200696.1
891,1200,850,22319.40393,1188.073227,603.4024077,0,0,28,32,0.022077388,9,9,7,7,128.5,113,10,400,40,400,60,25,262151.7987,721.9762771,25.25684544,454479886.3
892,1250,1000,22361.75417,1553.375301,1051.809975,0,0,32,25,0.012566371,9,9,9,9,137.375,106.125,13,200,35,400,50,25,243410.8183,732.2333694,30.41529594,458964756.6
893,1350,900,20085.99241,1321.070014,612.8335378,0,0,28,32,0.018534104,7,7,9,9,196.3333333,91,10,350,27,500,60,25,279253.5081,795.1646787,29.85815323,461066689.5
894,1050,1000,21750.05545,910.7728152,829.7379555,0,0,28,32,0.021446606,6,6,10,10,175.6,92,10,350,35,500,60,25,265348.8937,734.3624961,25.96859427,465575411.8
895,1150,1000,23349.04333,1812.14535,1448.103877,0,0,24,29,0.013784762,8,8,6,6,139.2857143,165,13,100,40,400,60,25,254976.1743,735.1394096,28.19422971,466651779.2
896,1200,850,21353.70528,1575.776991,882.3891155,0,0,36,32,0.028385214,11,11,9,9,102.2,84,13,150,35,400,60,25,331709.8619,859.1048792,25.73409465,467801198.6
897,1200,950,19912.18533,1087.137162,702.6978613,0,0,40,32,0.028219218,12,12,10,10,92.90909091,85.77777778,13,400,27,400,60,25,351110.7991,921.1627725,28.62787933,469954929.2
898,1300,1000,21354.14837,1320.591453,806.4233636,0,0,32,29,0.01625895,11,11,7,7,112.5,137.5,13,400,30,400,60,25,278963.7261,811.9335786,31.81035324,470741637.3
899,1200,950,20754.69123,1266.697019,834.2900856,0,0,36,32,0.025397296,10,10,10,10,113.5555556,85.77777778,13,250,30,400,60,25,332085.1447,883.9476921,28.49654727,475903500.3
