gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
23,516,[0.38717923 0.3869607 ],[1.04089156 0.42573217],[0.31796742 0.23233005],[0.09112021 0.03427616],100.0,3.833333333333333,45791676.935920015,69122006.91076005,34839752.217360064,7760655.463846261,135888.91202643476,206400.44576239988,107078.71422960004,22869.62317650141,0.29931686342019104,0.38213752760915015,0.23233005194368994,0.034284876567733095,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41614469.79921004,55338832.34552004,34839752.217360064,6208258.711156365,123703.80926309992,164740.63698239982,107078.71422960004,18299.769718488285,0.2872974313487484,0.35680309352672446,0.23233005194368994,0.03519257636968312,8
24,515,[0.38493511 0.38266481],[1.04089156 0.42573217],[0.32267655 0.23233005],[0.09233331 0.0312611 ],100.0,3.833333333333333,45791676.935920015,69122006.91076005,34839752.217360064,7760655.463846261,135888.91202643476,206400.44576239988,107078.71422960004,22869.62317650141,0.29931686342019104,0.38213752760915015,0.23233005194368994,0.034284876567733095,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41614469.79921004,55338832.34552004,34839752.217360064,6208258.711156365,123703.80926309992,164740.63698239982,107078.71422960004,18299.769718488285,0.2872974313487484,0.35680309352672446,0.23233005194368994,0.03519257636968312,8
25,506,[0.38742011 0.38125394],[1.04089156 0.42573217],[0.32041738 0.23233005],[0.09180985 0.03106133],100.0,4.0,45308558.80911335,69122006.91076005,34196841.89256007,7942704.485228526,134673.7727447333,206400.44576239988,106725.56926560006,23134.133615198374,0.301895735198719,0.38213752760915015,0.23233005194368994,0.035769245097299486,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40790288.92069337,55338832.34552004,34196841.89256007,6300331.08895513,121817.3381522666,164740.63698239982,106725.56926560006,18059.421204402588,0.2955099152105387,0.3612097861048611,0.23233005194368994,0.04050263587754339,9
26,505,[0.39253582 0.37935414],[1.04089156 0.42573217],[0.32041738 0.23233005],[0.09125094 0.03090568],100.0,4.5,44614698.37120151,69122006.91076005,34196841.89256007,7846725.59034226,132846.64337007405,206400.44576239988,106725.56926560006,22648.503986493917,0.3069877587283102,0.38213752760915015,0.23233005194368994,0.03710991480376287,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40790288.92069337,55338832.34552004,34196841.89256007,6300331.08895513,121817.3381522666,164740.63698239982,106725.56926560006,18059.421204402588,0.2955099152105387,0.3612097861048611,0.23233005194368994,0.04050263587754339,9
27,493,[0.3932949 0.3763278],[1.04089156 0.42078945],[0.32041738 0.23233005],[0.0903703  0.02883191],100.0,5.333333333333334,43706496.28254253,69122006.91076005,34196841.89256007,7533906.334393682,130540.33256831249,206400.44576239988,106725.56926560006,21556.000554281036,0.31373059751652516,0.38213752760915015,0.23233005194368994,0.03777453425391097,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40790288.92069337,55338832.34552004,34196841.89256007,6300331.08895513,121817.3381522666,164740.63698239982,106725.56926560006,18059.421204402588,0.2955099152105387,0.3612097861048611,0.23233005194368994,0.04050263587754339,9
28,498,[0.38671163 0.37529099],[1.04089156 0.42055384],[0.31999873 0.23233005],[0.09114948 0.02695636],100.0,5.833333333333333,42947302.03776803,69122006.91076005,34104026.224040054,7620663.196407074,128199.1217873257,206400.44576239988,101436.61509440017,21991.74742392959,0.31784764916275293,0.38213752760915015,0.23233005194368994,0.03854954974312865,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40186571.393996045,55338832.34552004,34104026.224040054,6246365.136023166,119331.82899291997,164740.63698239982,101436.61509440017,18557.8899883316,0.3024843785970326,0.3654774674902727,0.23233005194368994,0.04375380767939771,10
29,501,[0.37971637 0.3751594 ],[1.04089156 0.42055384],[0.33063331 0.23233005],[0.0892737  0.02570476],100.0,7.000000000000001,41769141.62931527,69122006.91076005,31933150.35096009,7527963.210890652,124786.71022453334,206400.44576239988,95761.45732960012,21771.482267715517,0.3223621193465816,0.3926404487121648,0.23233005194368994,0.038037052650607216,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39660701.00885604,55338832.34552004,31933150.35096009,6771078.317710381,117747.32710323998,164740.63698239982,95761.45732960012,20002.726226026763,0.30395185763155763,0.3926404487121648,0.23233005194368994,0.046923581604702794,10
30,488,[0.37444531 0.37548906],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08744715 0.02373824],100.0,8.166666666666666,40975956.443064526,69122006.91076005,30442050.30864003,7411367.194906524,122700.85301670204,206400.44576239988,92829.6953847999,21459.12539648409,0.325415192430207,0.3926404487121648,0.23233005194368994,0.03765063001905443,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38753898.61721004,55338832.34552004,30442050.30864003,6579588.359831919,115531.45504026662,164740.63698239982,92829.6953847999,19060.700956962763,0.3094786119423334,0.3889829999306974,0.23233005194368994,0.0442199797694052,12
31,500,[0.37788874 0.37448956],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08835693 0.0243192 ],100.0,9.5,40379820.69032705,69122006.91076005,30442050.30864003,7141183.03321457,121081.42173446318,206400.44576239988,92829.6953847999,20652.507603149686,0.32664207598338657,0.3926404487121648,0.23233005194368994,0.035843814575849654,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39340387.41842403,55338832.34552004,30442050.30864003,7116234.393156585,117233.40700063994,164740.63698239982,92829.6953847999,20574.58610509908,0.30026571440054795,0.3889829999306974,0.23233005194368994,0.0435953585628706,10
32,517,[0.38082415 0.37370472],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.0893442  0.02461229],100.0,10.333333333333334,40169180.61259746,69122006.91076005,30442050.30864003,6949577.336283645,120569.03622252258,206400.44576239988,92829.6953847999,20115.169473839083,0.32922273692716725,0.3926404487121648,0.23233005194368994,0.035669754871236053,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39340387.41842403,55338832.34552004,30442050.30864003,7116234.393156585,117233.40700063994,164740.63698239982,92829.6953847999,20574.58610509908,0.30026571440054795,0.3889829999306974,0.23233005194368994,0.0435953585628706,10
33,520,[0.38104937 0.37341514],[1.04089156 0.41343235],[0.33063331 0.23233005],[0.08867979 0.02428534],100.0,11.166666666666666,39770616.43638272,69122006.91076005,30144470.089440055,6887177.36813864,119415.55797878212,206400.44576239988,90512.3490968,19966.146126357442,0.3313730223831561,0.3926404487121648,0.23233005194368994,0.03538317117805838,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39310629.39650403,55338832.34552004,30144470.089440055,7153904.920998807,117001.67237183994,164740.63698239982,90512.3490968,20859.22510413748,0.2988389101660752,0.3747149575859705,0.23233005194368994,0.04081314523295353,10
