gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
19,769,[0.36780456 0.35800562],[0.13379059 0.04038616],[0.29197986 0.17250589],1.5555555555555556,52416902.63145715,157597.97155428567,0.23853465528922482,4
20,749,[0.3714401  0.35668325],[0.13495614 0.04081953],[0.29197986 0.17250589],1.5555555555555556,52416902.63145715,157597.97155428567,0.23853465528922482,4
21,759,[0.37579398 0.35517166],[0.13753642 0.04153805],[0.29197986 0.17250589],1.5555555555555556,52416902.63145715,157597.97155428567,0.23853465528922482,4
22,756,[0.38035756 0.35363277],[0.13887452 0.04187442],[0.29197986 0.17250589],1.7777777777777777,52354928.16852,157940.35321147498,0.24199672636236935,4
23,761,[0.38437177 0.35210316],[0.13954735 0.04207184],[0.29197986 0.17250589],1.7777777777777777,52354928.16852,157940.35321147498,0.24199672636236935,4
24,735,[0.38831332 0.35036519],[0.13992515 0.04197496],[0.29197986 0.17250589],1.8888888888888888,52632443.91538589,158894.6489190588,0.24063076439884276,4
25,755,[0.39622631 0.34717778],[0.14235674 0.04248299],[0.29515161 0.17250589],2.111111111111111,53222511.57870315,160836.02226117896,0.239743410982807,4
26,778,[0.3960996  0.34569955],[0.1431232  0.04169772],[0.29664844 0.17250589],2.2222222222222223,52476628.375974,158597.92444334,0.24116989919337203,4
27,761,[0.39447386 0.34513695],[0.14478633 0.04237208],[0.29664844 0.17250589],2.4444444444444446,52307017.34219635,157998.6326898909,0.2407729073743425,4
28,778,[0.396239   0.34525743],[0.14481003 0.04298842],[0.29664844 0.17250589],2.555555555555556,52012092.14955651,156982.35521619132,0.24229150775182107,4
29,740,[0.40103027 0.34339882],[0.14423187 0.04277758],[0.29664844 0.17250589],2.555555555555556,52012092.14955651,156982.35521619132,0.24229150775182107,4
30,754,[0.40455328 0.34143768],[0.14390737 0.0422779 ],[0.29973293 0.17250589],2.666666666666667,51804943.75880333,156277.2991504667,0.24348331759498096,4
31,742,[0.40615472 0.34112139],[0.14676627 0.04249388],[0.30076851 0.17250589],3.0,51703237.91797184,155800.9628950222,0.24700769524424018,4
32,753,[0.40559909 0.34134068],[0.14931045 0.04261165],[0.30208549 0.17250589],3.6666666666666665,50826138.66881453,153244.18610420605,0.25292984889562986,4
33,757,[0.40922639 0.340525  ],[0.14917325 0.04261549],[0.30208549 0.17250589],3.7777777777777777,50600495.68157058,152568.36891574116,0.2541802432308901,4
34,740,[0.41419909 0.33912279],[0.14886208 0.04281514],[0.30077072 0.17250589],4.0,50841001.56794554,153151.3565230111,0.25301683607017683,4
35,729,[0.41816234 0.33837291],[0.14939714 0.04327507],[0.30077072 0.17250589],4.111111111111112,50478376.00675025,152148.2165809946,0.2534332692027241,5
36,759,[0.41771933 0.338232  ],[0.14919458 0.04369369],[0.303843   0.17250589],4.222222222222222,50410426.866106294,152060.46253682105,0.25437446078804443,5
37,755,[0.41732821 0.33784666],[0.15018726 0.04368354],[0.30808499 0.17250589],4.555555555555555,50138448.23125266,151126.1938055317,0.25447320188511163,6
38,739,[0.42012385 0.33704827],[0.14988791 0.04368033],[0.30677023 0.17250589],4.777777777777778,49767563.437587894,150030.33158999067,0.25390747993950397,7
39,767,[0.42311757 0.33643458],[0.15125725 0.04431973],[0.30869536 0.17250589],5.555555555555555,48810967.828978375,147304.840020392,0.25625712628358505,8
40,748,[0.42627594 0.3354554 ],[0.15046385 0.04458923],[0.30869536 0.17250589],5.666666666666666,48911536.59172233,147635.64639449414,0.25633814628981133,8
41,742,[0.42837103 0.33581457],[0.15078021 0.04507302],[0.30869536 0.17250589],6.0,48906541.26114294,147774.1328709926,0.25666182590901454,8
42,739,[0.43121413 0.33708535],[0.14907481 0.04635766],[0.31202051 0.17250589],6.222222222222222,48489240.26944427,146574.43311024288,0.2591584727938245,9
43,729,[0.42974808 0.3405371 ],[0.14843809 0.04814362],[0.3194591  0.17250589],6.666666666666667,48200011.82096798,146005.01568187334,0.26020261171154585,10
44,735,[0.42507127 0.34305518],[0.1477203  0.04849174],[0.32006476 0.17250589],7.000000000000001,48006451.71444062,145264.16025123178,0.2605252193013799,9
45,759,[0.42849046 0.34122945],[0.14513847 0.04776659],[0.32093784 0.17250589],7.444444444444444,47910055.39040297,144883.03658619703,0.2606858703875781,9
46,770,[0.42587268 0.3426202 ],[0.14479634 0.04777136],[0.32431146 0.17250589],7.666666666666666,47727310.320655644,144340.6446682435,0.26158673464051424,9
47,726,[0.42215339 0.34341312],[0.14450602 0.04633793],[0.33149924 0.17250589],8.11111111111111,47603877.996238895,143834.04414549042,0.26245804700471925,9
48,768,[0.41843187 0.34419579],[0.14415148 0.04605529],[0.33256133 0.17250589],8.444444444444445,47575756.72960105,143742.175296079,0.26232099199266923,9
49,758,[0.42291288 0.34231037],[0.14672982 0.04631041],[0.33256133 0.17250589],9.0,47842116.483372845,144563.35816526422,0.2623037281715597,10
