gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
10,480,[0.72954109 0.84303303],[1.18066317 1.14916289],[0.54263747 0.57919921],[0.10788027 0.09658128],100.0,28.999999999999996,88571433.2154162,74574378.89688921,0.016423810284535795,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.6314678906614803,74574378.89688921,0.011868220809231896,11
11,485,[0.71396736 0.84618234],[1.18066317 1.09342458],[0.55269303 0.57919921],[0.10648621 0.09703547],100.0,37.6,86717426.7419672,73844455.85592254,0.016567236281726475,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.654616701577127,73844455.85592254,0.011868220809231896,9
12,477,[0.70022597 0.85422447],[1.18066317 1.07724367],[0.5309934  0.59341104],[0.10749349 0.09754347],100.0,53.6,84734584.13926028,72997884.24883159,0.016763293766931666,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.695111273895633,72997884.24883159,0.011868220809231896,9
13,486,[0.68945859 0.85409651],[1.18066317 1.02764811],[0.50612714 0.59341104],[0.10592846 0.0874768 ],100.0,69.19999999999999,83414576.69980101,71006708.88590655,0.016847504579085983,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.70605993920939,71006708.88590655,0.011868220809231896,8
14,490,[0.67833084 0.84477143],[1.18066317 0.99869014],[0.53575225 0.59341104],[0.10632347 0.07944873],100.0,91.0,82111158.30794422,71006708.88590655,0.016906817600955193,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.713073713680533,71006708.88590655,0.011868220809231896,7
15,487,[0.65303646 0.83337164],[1.18066317 0.99612977],[0.53531386 0.59341104],[0.09707013 0.07736954],100.0,100.0,80077502.48533356,71006708.88590655,0.016667432752817478,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.7238897578520707,71006708.88590655,0.011868220809231896,7
16,487,[0.63571838 0.82661561],[1.18066317 0.99612977],[0.52908464 0.59341104],[0.09416817 0.07788071],100.0,100.0,78847438.82665022,71006708.88590655,0.016532312120932337,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.734131655303203,71006708.88590655,0.011868220809231896,10
17,483,[0.62229179 0.82039155],[1.18066317 0.99612977],[0.49916333 0.59341104],[0.09441364 0.08098809],100.0,100.0,77868011.75695926,68831799.00444616,0.016407830987639857,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.783949077862645,68831799.00444616,0.011868220809231896,9
18,491,[0.61131588 0.81505281],[1.18066317 0.99712105],[0.49643549 0.59341104],[0.09397476 0.08118735],100.0,100.0,77064739.03798142,68261605.55715854,0.016301056238329486,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.7929968656598945,68261605.55715854,0.011868220809231896,8
19,481,[0.6003585  0.80243623],[1.18066317 0.99402975],[0.47691188 0.59341104],[0.09696869 0.07651377],100.0,100.0,76281142.36572653,67200423.71893167,0.0160487245865447,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.8278362506400394,67200423.71893167,0.011868220809231896,10
