gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size,sep1,sep2,sep3,sep4,sep5
18,96,[0.38880299 0.54809245],[0.74907971 0.57181158],[0.34029431 0.37676384],[0.07634673 0.03883906],100.0,8.0,38823270.427309975,52405576.156560056,31247356.699759983,6266052.37402113,117552.46884575005,157055.59434080016,94077.88448540005,18855.52659705525,0.47701954328889273,0.5432195066219607,0.3767638402831517,0.053650449898886315,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38872500.453919984,52405576.156560056,31247356.699759983,7781919.719948544,116780.53361616007,157055.59434080016,94077.88448540005,23398.935839408405,0.45951520513182154,0.5432195066219607,0.3767638402831517,0.06053417512805233,5,|,|,|,|,|
19,81,[0.39535978 0.5455679 ],[0.74907971 0.5755876 ],[0.34029431 0.37676384],[0.07860292 0.03891116],100.0,10.0,37853807.75239998,52405576.156560056,31247356.699759983,5971885.128652719,114744.06517496002,157055.59434080016,94077.88448540005,17919.734411356894,0.48433814892841054,0.5432195066219607,0.3767638402831517,0.05047562591046948,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37794671.41642665,52405576.156560056,31247356.699759983,7501586.895012441,113723.63369103339,157055.59434080016,94077.88448540005,22427.25316310099,0.46646166913167714,0.5432195066219607,0.3767638402831517,0.057401412083686605,6,|,|,|,|,|
20,88,[0.39782814 0.54462845],[0.74907971 0.5755876 ],[0.34029431 0.37676384],[0.07809236 0.03874165],100.0,10.0,37853807.75239998,52405576.156560056,31247356.699759983,5971885.128652719,114744.06517496002,157055.59434080016,94077.88448540005,17919.734411356894,0.48433814892841054,0.5432195066219607,0.3767638402831517,0.05047562591046948,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37794671.41642665,52405576.156560056,31247356.699759983,7501586.895012441,113723.63369103339,157055.59434080016,94077.88448540005,22427.25316310099,0.46646166913167714,0.5432195066219607,0.3767638402831517,0.057401412083686605,6,|,|,|,|,|
21,83,[0.40100265 0.54380178],[0.74907971 0.58987052],[0.34029431 0.37676384],[0.07896984 0.0388934 ],100.0,11.0,38188742.4955418,52405576.156560056,31247356.699759983,5791640.220934569,115693.97198136365,157055.59434080016,94077.88448540005,17347.84329595049,0.4862954100820465,0.5432195066219607,0.3767638402831517,0.04852298794023038,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37794671.41642665,52405576.156560056,31247356.699759983,7501586.895012441,113723.63369103339,157055.59434080016,94077.88448540005,22427.25316310099,0.46646166913167714,0.5432195066219607,0.3767638402831517,0.057401412083686605,6,|,|,|,|,|
22,76,[0.40525504 0.54181625],[0.74907971 0.58987052],[0.34029431 0.37676384],[0.07889722 0.03928075],100.0,13.0,38095392.74379383,52405576.156560056,31247356.699759983,5357032.408829898,115267.73968070772,157055.59434080016,94077.88448540005,16097.99351022107,0.4868832910369911,0.5432195066219607,0.3767638402831517,0.04473951001339344,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37576000.24221713,52405576.156560056,31247356.699759983,6965744.274894737,112928.11722022863,157055.59434080016,94077.88448540005,20854.83725241992,0.4708364205011516,0.5432195066219607,0.3767638402831517,0.05421300257329606,7,|,|,|,|,|
23,83,[0.41037149 0.53950845],[0.74907971 0.58987052],[0.34029431 0.37676384],[0.07824091 0.03920561],100.0,13.0,38095392.74379383,52405576.156560056,31247356.699759983,5357032.408829898,115267.73968070772,157055.59434080016,94077.88448540005,16097.99351022107,0.4868832910369911,0.5432195066219607,0.3767638402831517,0.04473951001339344,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37576000.24221713,52405576.156560056,31247356.699759983,6965744.274894737,112928.11722022863,157055.59434080016,94077.88448540005,20854.83725241992,0.4708364205011516,0.5432195066219607,0.3767638402831517,0.05421300257329606,7,|,|,|,|,|
24,78,[0.41497344 0.53737601],[0.74907971 0.58987052],[0.34029431 0.37676384],[0.07588466 0.03901575],100.0,14.000000000000002,37960999.34223427,52405576.156560056,31247356.699759983,5184858.172064667,114772.19130097145,157055.59434080016,94077.88448540005,15614.973463013304,0.48762257103083834,0.5432195066219607,0.3767638402831517,0.04319439297656422,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37576000.24221713,52405576.156560056,31247356.699759983,6965744.274894737,112928.11722022863,157055.59434080016,94077.88448540005,20854.83725241992,0.4708364205011516,0.5432195066219607,0.3767638402831517,0.05421300257329606,7,|,|,|,|,|
25,87,[0.39817693 0.54751561],[0.74907971 0.58987052],[0.34577745 0.37676384],[0.07506231 0.03628934],100.0,16.0,37861123.946512476,52405576.156560056,31247356.699759983,5140061.910060075,114458.54753708752,157055.59434080016,94077.88448540005,15424.821866621245,0.49206720100136203,0.5451652324591004,0.3767638402831517,0.0427929927740014,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36929690.99055998,52405576.156560056,31247356.699759983,6736497.87959356,111116.99432587504,157055.59434080016,94077.88448540005,20087.804016142934,0.474631116579877,0.5432195066219607,0.3767638402831517,0.05169590380600707,8,|,|,|,|,|
26,93,[0.40387566 0.54533104],[0.74907971 0.58987052],[0.34215196 0.37676384],[0.07862717 0.03717685],100.0,18.0,37899212.708046645,52405576.156560056,31247356.699759983,5330473.031609199,114401.82355063334,157055.59434080016,94077.88448540005,15965.967357664531,0.49192062728084757,0.5451652324591004,0.3767638402831517,0.04154870750463465,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36332077.38799998,52405576.156560056,31247356.699759983,6572311.066111707,109235.6647215556,157055.59434080016,94077.88448540005,19672.303822871083,0.47972767394133087,0.5432195066219607,0.3767638402831517,0.05082641957588801,9,|,|,|,|,|
27,94,[0.40612855 0.54450225],[0.74907971 0.58987052],[0.34215196 0.37676384],[0.0786981  0.03717242],100.0,19.0,37874883.97812419,52405576.156560056,31247356.699759983,5189328.091183158,114377.63863517896,157055.59434080016,94077.88448540005,15540.470231411786,0.49333749998913556,0.5451652324591004,0.3767638402831517,0.04088487455768322,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36332077.38799998,52405576.156560056,31247356.699759983,6572311.066111707,109235.6647215556,157055.59434080016,94077.88448540005,19672.303822871083,0.47972767394133087,0.5432195066219607,0.3767638402831517,0.05082641957588801,9,|,|,|,|,|
