gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
27,487,[0.36673466 0.47947853],[1.16610737 0.96595213],[0.17936618 0.30833753],[0.21490314 0.12235228],100.0,100.0,49221033.153238416,38068324.318668686,0.009589570579807827,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.043149742991979,38068324.318668686,0.006166750557251402,27
28,486,[0.36274396 0.48163429],[1.16610737 0.96595213],[0.16931099 0.30833753],[0.21685296 0.12869798],100.0,100.0,48990076.08683474,37835798.268924244,0.009632685728948659,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.062064295639386,37835798.268924244,0.006166750557251402,29
29,492,[0.3551055  0.48720128],[1.16610737 0.96595213],[0.16931099 0.30833753],[0.22053747 0.13105918],100.0,100.0,48547785.88892591,37835798.268924244,0.009744025581026957,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.066529901424525,37835798.268924244,0.006166750557251402,26
30,489,[0.3506331  0.49162912],[1.16610737 0.96595213],[0.16931099 0.30833753],[0.22276327 0.13667399],100.0,100.0,48276792.01841745,37769299.879986174,0.00983258244460991,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.068271409872697,37813338.42655669,0.006166750557251402,25
31,478,[0.34886783 0.49010425],[1.16610737 0.90053197],[0.15664011 0.30833753],[0.22414816 0.13533686],100.0,100.0,48171708.829373956,36726123.85443936,0.009802084909201068,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.093022775056168,36726123.85443936,0.006166750557251402,21
32,480,[0.3469944  0.49189821],[1.16610737 0.90053197],[0.15142409 0.30833753],[0.22588392 0.13956307],100.0,100.0,48060083.679649994,36459191.68926757,0.00983796425489512,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.103582825400387,36459191.68926757,0.006166750557251402,25
33,493,[0.344396   0.48130044],[1.16610737 0.90053197],[0.15142409 0.30833753],[0.22611275 0.12718749],100.0,100.0,47899983.50057991,36459191.68926757,0.009626008810598084,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.105850717355633,36459191.68926757,0.006166750557251402,24
34,486,[0.34070995 0.47901772],[1.16610737 0.88899349],[0.15142409 0.30833753],[0.22768569 0.12617089],100.0,100.0,47681254.70235977,36459191.68926757,0.009580354334765744,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.107365367760279,36459191.68926757,0.006166750557251402,26
35,481,[0.33865461 0.47595921],[1.16610737 0.9108229 ],[0.14768617 0.30833753],[0.22912076 0.12355936],100.0,100.0,47552754.262495585,36186387.28784207,0.009519184179672315,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.114590955182453,36186387.28784207,0.006166750557251402,32
36,490,[0.33083146 0.48104864],[1.16610737 0.9108229 ],[0.14175532 0.30833753],[0.22844367 0.12964198],100.0,100.0,47096433.09238508,36056452.61476337,0.009620972705255972,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.1257138535242515,36056452.61476337,0.006166750557251402,35
