name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
393,350,689,800,507.8789968,597.5047021,0.008443729,0.004205476,686.8513014,13,100,21,400,66731.84433,188.4078588,6.895915764,16,40,5,11,3,6,2
394,450,579,650,507.8914189,597.5193164,0.006778655,0.002716242,396.6049575,10,150,27,500,50020.61744,157.7782705,7.069274681,22,50,6,5,1,2,1
395,200,1001,1100,508.5549835,598.2999806,0.005450353,0.00246913,311.2248472,10,300,21,500,34440.45798,112.3941469,5.295240257,22,50,2,3,2,2,1
396,300,701,800,511.6390307,601.9282715,0.007119873,0.003156372,274.2348849,10,300,27,500,39690.92833,126.7429996,5.79129638,22,50,3,4,2,2,1
397,450,614,700,515.9207385,606.9655747,0.008354643,0.00386526,484.2612114,13,150,21,400,65188.03074,192.2982082,7.6905487,16,40,7,12,2,6,1
398,600,567,650,517.1122991,608.3674107,0.006867434,0.003302579,462.0664866,10,100,21,400,71523.46248,219.9489548,9.458678731,16,40,10,12,2,6,1
399,300,717,800,517.650457,609.0005376,0.007159114,0.003130202,421.2767898,10,150,27,500,44124.08286,135.5545079,5.821517959,16,40,4,8,2,4,1
400,300,764,850,517.758048,609.1271153,0.006291436,0.003141376,348.5925135,13,350,21,500,43093.19484,136.525328,6.159455992,16,40,4,8,2,4,1
401,250,942,1050,518.6059684,610.1246687,0.005148168,0.002153241,412.3414732,10,200,21,500,41388.90246,134.7286439,6.320100888,16,40,3,7,3,3,1
402,400,664,750,519.3176181,610.9619037,0.006230246,0.002899803,592.8127146,13,150,21,500,56595.51139,172.3781395,7.286521602,16,40,6,9,2,4,1
403,250,789,900,524.3575246,616.8912054,0.007135046,0.00330595,913.560957,13,100,27,500,54632.78936,153.485706,5.548019429,16,40,3,8,3,4,2
404,200,873,1000,525.1186887,617.7866925,0.009476525,0.004436424,319.1018056,10,200,27,400,41040.26617,121.3423462,4.880666929,22,50,2,5,3,3,2
405,500,617,700,525.8900363,618.6941604,0.005915298,0.002444226,540.1585753,10,100,21,500,60862.13496,190.8778028,8.465621406,16,40,8,9,2,4,1
406,200,842,1000,527.4149796,620.4882113,0.010875019,0.005165005,373.9011099,1.00E+01,150,27,400,45537.17926,130.2365978,4.911442513,16,40,2,10,5,5,3
407,200,992,1150,528.724739,622.0291047,0.005720632,0.002724365,360.5299359,13,400,21,500,37409.74143,120.2929476,5.545503777,22,50,1,4,4,2,2
