gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
35,0.2855974111656006,0.0551786203937499,5.410628751377154,PopSize_100,100,3,TwoPoint,0.9,0.7
36,0.2855974111656006,0.0551786203937499,5.410704959674082,PopSize_100,100,3,TwoPoint,0.9,0.7
37,0.2855974111656006,0.0551786203937499,5.411044097789441,PopSize_100,100,3,TwoPoint,0.9,0.7
38,0.2855974111656006,0.0551786203937499,5.411133891289423,PopSize_100,100,3,TwoPoint,0.9,0.7
39,0.2827581731472421,0.0551786203937499,5.417984772017995,PopSize_100,100,3,TwoPoint,0.9,0.7
40,0.2827581731472421,0.0544368263985546,5.419523006272236,PopSize_100,100,3,TwoPoint,0.9,0.7
41,0.2827581731472421,0.0544368263985546,5.419578154272638,PopSize_100,100,3,TwoPoint,0.9,0.7
42,0.2820098607294359,0.0544368263985546,5.421437972837031,PopSize_100,100,3,TwoPoint,0.9,0.7
43,0.2820098607294359,0.0544368263985546,5.42171814332237,PopSize_100,100,3,TwoPoint,0.9,0.7
44,0.2787387307338825,0.0535170736997159,5.432007853322395,PopSize_100,100,3,TwoPoint,0.9,0.7
45,0.2787387307338825,0.0535170736997159,5.432060493830554,PopSize_100,100,3,TwoPoint,0.9,0.7
46,0.2787387307338825,0.0535170736997159,5.432060493830554,PopSize_100,100,3,TwoPoint,0.9,0.7
47,0.2787387307338825,0.0535170736997159,5.432107853603005,PopSize_100,100,3,TwoPoint,0.9,0.7
48,0.2787387307338825,0.0535170736997159,5.432327317090283,PopSize_100,100,3,TwoPoint,0.9,0.7
49,0.2787387307338825,0.0535170736997159,5.432327317090283,PopSize_100,100,3,TwoPoint,0.9,0.7
50,0.2787387307338825,0.0535170736997159,5.432327857634789,PopSize_100,100,3,TwoPoint,0.9,0.7
51,0.2787387307338825,0.0535170736997159,5.432402622335856,PopSize_100,100,3,TwoPoint,0.9,0.7
52,0.2779904183160765,0.0535170736997159,5.434204781079844,PopSize_100,100,3,TwoPoint,0.9,0.7
53,0.2779904183160765,0.0535170736997159,5.434289399842921,PopSize_100,100,3,TwoPoint,0.9,0.7
54,0.2779904183160765,0.0535170736997159,5.43432049341515,PopSize_100,100,3,TwoPoint,0.9,0.7
55,0.2779904183160765,0.0535170736997159,5.434337278077928,PopSize_100,100,3,TwoPoint,0.9,0.7
56,0.2651865706639835,0.0488368034132419,5.474823301996684,PopSize_100,100,3,TwoPoint,0.9,0.7
57,0.2651865706639835,0.0488368034132419,5.474823301996684,PopSize_100,100,3,TwoPoint,0.9,0.7
58,0.2651865706639835,0.0488368034132419,5.475189749102751,PopSize_100,100,3,TwoPoint,0.9,0.7
59,0.2651865706639835,0.0488368034132419,5.475190463620118,PopSize_100,100,3,TwoPoint,0.9,0.7
60,0.2629335265691679,0.0488368034132419,5.480935822428778,PopSize_100,100,3,TwoPoint,0.9,0.7
61,0.2490187056689823,0.0488368034132419,5.51453231126658,PopSize_100,100,3,TwoPoint,0.9,0.7
62,0.2490187056689823,0.0488368034132419,5.514928859642668,PopSize_100,100,3,TwoPoint,0.9,0.7
63,0.23472428751279,0.0488368034132419,5.549494189097325,PopSize_100,100,3,TwoPoint,0.9,0.7
64,0.23472428751279,0.0488368034132419,5.549616121434531,PopSize_100,100,3,TwoPoint,0.9,0.7
65,0.225528792105819,0.0488368034132419,5.57173275661112,PopSize_100,100,3,TwoPoint,0.9,0.7
66,0.225528792105819,0.0488368034132419,5.571762052596724,PopSize_100,100,3,TwoPoint,0.9,0.7
67,0.225528792105819,0.0488368034132419,5.571836518665663,PopSize_100,100,3,TwoPoint,0.9,0.7
68,0.225528792105819,0.0488368034132419,5.5719564471109,PopSize_100,100,3,TwoPoint,0.9,0.7
69,0.2232017861592921,0.0488368034132419,5.577589232065744,PopSize_100,100,3,TwoPoint,0.9,0.7
70,0.2232017861592921,0.0488368034132419,5.577621942032984,PopSize_100,100,3,TwoPoint,0.9,0.7
71,0.2112343739496266,0.0488368034132419,5.606438788647938,PopSize_100,100,3,TwoPoint,0.9,0.7
72,0.2112343739496266,0.0488368034132419,5.606440612619208,PopSize_100,100,3,TwoPoint,0.9,0.7
73,0.2112343739496266,0.0488368034132419,5.606440612619209,PopSize_100,100,3,TwoPoint,0.9,0.7
74,0.2112343739496266,0.0488368034132419,5.606440612619209,PopSize_100,100,3,TwoPoint,0.9,0.7
75,0.2112343739496266,0.0488368034132419,5.606518999476624,PopSize_100,100,3,TwoPoint,0.9,0.7
76,0.2112343739496266,0.0488368034132419,5.60651924770024,PopSize_100,100,3,TwoPoint,0.9,0.7
77,0.2112343739496266,0.0488368034132419,5.606625936844055,PopSize_100,100,3,TwoPoint,0.9,0.7
78,0.2112343739496266,0.0488368034132419,5.606636966738822,PopSize_100,100,3,TwoPoint,0.9,0.7
79,0.2112343739496266,0.0488368034132419,5.6066372845798345,PopSize_100,100,3,TwoPoint,0.9,0.7
