Parameter,Obj1_NormCostCO2,Obj2_MeanDCR,Cost,CO2,Mean_DCR
0.5,0.1491542041546112,0.21297852455161273,37679594.55528005,111145.25257599991,0.21297852455161273
0.5,0.1661318119316722,0.21179328573685868,38407418.10184005,114588.8354591999,0.21179328573685868
0.5,0.19200733768640138,0.20835736916049283,39883878.15128,118878.96253040002,0.20835736916049283
0.5,0.1969485076926103,0.2082226543099904,40397303.278519996,119094.11564019987,0.2082226543099904
0.5,0.20049092511666683,0.19832629324732629,40300486.70203999,120461.5920568,0.19832629324732629
0.5,0.24383564918466835,0.1937077813662736,43090425.54344001,126821.6517807999,0.1937077813662736
0.5,0.29734111191112944,0.19310042450143727,46415190.40308004,134983.64353120004,0.19310042450143727
0.5,0.3574110053213503,0.1846027605668135,49162358.28588002,146718.82605240043,0.1846027605668135
0.5,0.3710543223186268,0.1788078559910996,50909063.37508002,146454.16219759997,0.1788078559910996
0.5,0.4186573714926902,0.17042625177213197,53594526.301080026,154426.98674959998,0.17042625177213197
0.5,0.5934308143709712,0.16842970224662546,63784605.33819996,182836.615412,0.16842970224662546
0.5,0.5996511570401521,0.16349028856748207,64366217.75419986,183276.38628519987,0.16349028856748207
0.5,0.6349859913850036,0.1442414668993265,66375895.64540005,189151.89815119997,0.1442414668993265
0.6,0.09907085978933437,0.31305669283823273,34592340.30276004,103440.40074439997,0.31305669283823273
0.6,0.10787249931387904,0.30354002574258804,35065632.580760054,104975.19824639992,0.30354002574258804
0.6,0.109912400965718,0.3015891585823395,35205177.284760036,105253.00368639994,0.3015891585823395
0.6,0.11227920792592391,0.30135148177908727,35368795.982360035,105570.86332479991,0.30135148177908727
0.6,0.11462200412795863,0.2982407765662044,35462513.37276006,106063.5847484,0.2982407765662044
0.6,0.12089051187809532,0.2977584669230661,35852498.53916003,107018.59393679991,0.2977584669230661
0.6,0.12567235344243272,0.29764817905948576,36106380.21020003,107860.92365999991,0.29764817905948576
0.6,0.1271113984226273,0.29761665425976724,36315004.21484005,107769.36314879991,0.29761665425976724
0.6,0.12981207641134446,0.25986835838610145,36153642.868760034,109040.37880639992,0.25986835838610145
0.6,0.13217888337155032,0.2589361612623845,36317261.56636003,109358.23844479989,0.2589361612623845
0.6,0.13255058615465676,0.2533045224128587,36424836.27772003,109194.48282239989,0.2533045224128587
0.6,0.13733242771899423,0.25240704922177437,36678717.948760025,110036.81254559991,0.25240704922177437
0.6,0.1393000909687364,0.2472902827480002,36821717.06972004,110282.86932439997,0.2472902827480002
0.6,0.14247588493111327,0.24347551780151963,37040173.10012005,110712.21538039995,0.24347551780151963
0.6,0.14641294244096623,0.23924353633874648,37213519.01396,111498.85710319986,0.23924353633874648
0.6,0.14811176378275515,0.2358741958179307,37441199.52355999,111439.31883159983,0.2358741958179307
0.6,0.15393329374861608,0.23141845220018908,37738594.093959995,112495.29084239985,0.23141845220018908
0.6,0.15669061989346886,0.2312029475274863,37919592.94036004,112890.69293359981,0.2312029475274863
0.6,0.1610733177473426,0.22733061107018196,38152855.03476006,113661.21979719991,0.22733061107018196
0.6,0.1634401247075484,0.22641092070000093,38316473.73236004,113979.07943559988,0.22641092070000093
0.6,0.16822196627188568,0.2246090819256716,38570355.40340003,114821.40915879987,0.2246090819256716
0.6,0.1720514286597198,0.2239901689558425,38800176.289160036,115426.81004759988,0.2239901689558425
0.6,0.19007600198031765,0.21801442732126672,40006039.19772004,117952.3623959999,0.21801442732126672
0.6,0.20089935936244546,0.21669171517603422,40700952.03476002,119545.05335159994,0.21669171517603422
0.6,0.2079171664291418,0.21655100210656023,40673798.46051998,121824.45834799983,0.21655100210656023
0.6,0.20847516436209135,0.21537344383085874,40699408.92252004,121933.2290551999,0.21537344383085874
0.6,0.21795156287105905,0.21103329803540796,41831836.54452003,121960.26296639993,0.21103329803540796
0.6,0.23536758147613318,0.20846954788913805,42627873.106600024,125363.80396639988,0.20846954788913805
0.6,0.24183121993552475,0.20643097323312412,43427409.65020003,125311.43520239991,0.20643097323312412
0.6,0.24721994552639504,0.2019898882345684,43375722.04060003,127142.18433839992,0.2019898882345684
0.6,0.24848926236876298,0.2010113239712881,43403405.67952003,127469.400862,0.2010113239712881
0.6,0.2564869668945595,0.19419372018157918,44268201.39364004,127729.50762880004,0.19419372018157918
0.6,0.2574788629943786,0.18672981743387487,44186974.015000045,128253.63816119994,0.18672981743387487
0.6,0.2688709817859258,0.18358610618334736,44724625.68472003,130435.71851799997,0.18358610618334736
0.6,0.28679790633917346,0.18196678696877555,45851038.965800025,133137.8761492001,0.18196678696877555
0.6,0.30059607132397337,0.17704024177182534,46802104.52820004,134998.28634920015,0.17704024177182534
0.6,0.3074885899216916,0.16262481522439967,47517321.53619995,135300.93326199992,0.16262481522439967
0.6,0.353383670962377,0.16097204922213454,49615658.10859992,144268.44620999994,0.16097204922213454
0.6,0.7799534694566183,0.15657874661036827,74038695.43699999,214776.74105000045,0.15657874661036827
