Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
0.8,0.333387235277506,0.008229646307292445,47614358.65982925,141270.08914460754,0.008229646307292445,5.498893843140586
0.8,0.3454893996547356,0.007966578015435212,48259036.60857991,143456.0012626213,0.007966578015435212,5.498893843140586
0.8,0.36844841797656086,0.007784989426741479,49740879.467250444,146935.5293537681,0.007784989426741479,5.498893843140586
0.8,0.37809481402976075,0.007775535273067776,50498791.796870984,148048.59922257895,0.007775535273067776,5.498893843140586
0.8,0.3802428443251425,0.0076401125382124895,50296407.99371661,149253.45615947462,0.0076401125382124895,5.498893843140586
0.8,0.3869374454408381,0.007618152721782132,51209403.01850829,149028.05583606462,0.007618152721782132,5.498893843140586
0.8,0.39415868964058076,0.00742524341681244,51362004.54736859,150930.7541580479,0.00742524341681244,5.498893843140586
0.8,0.4040648358142111,0.007031555338517677,52305727.72881779,151647.3133754754,0.007031555338517677,5.498893843140586
0.8,0.4627030760825801,0.006934236635589906,55361683.79664885,162413.1600123075,0.006934236635589906,5.498893843140586
0.8,0.4805931828361354,0.0064781483734791725,57145078.59132473,163503.3638495892,0.0064781483734791725,5.498893843140586
0.8,0.5261972319501518,0.006431082432752419,59258423.90925638,172555.14317521692,0.006431082432752419,5.498893843140586
0.8,0.5740644059041798,0.006346046503095897,62544617.583204485,179302.4042558994,0.006346046503095897,5.498893843140586
0.9,0.3062794466032839,0.012160911520119815,46720263.32347666,134955.87654705354,0.012160911520119815,5.470963563258229
0.9,0.30952700563400204,0.0104115474991163,46824899.00969009,135718.72048866487,0.0104115474991163,5.470963563258229
0.9,0.3246769257270757,0.010101169456083492,47619184.16262597,138487.98713850108,0.010101169456083492,5.470963563258229
0.9,0.3255102927438674,0.007539041745239612,47473053.00720587,139129.76932769959,0.007539041745239612,5.470963563258229
0.9,0.34596561362920614,0.007455763452445526,48716060.796716034,142429.00966798156,0.007455763452445526,5.470963563258229
0.9,0.3471327546741766,0.007321867816041839,48819699.59355019,142532.9033744693,0.007321867816041839,5.470963563258229
0.9,0.36146313058452373,0.007284433783973722,49674087.00247075,144886.60467741784,0.007284433783973722,5.470963563258229
0.9,0.36384675666324917,0.007131680778238727,49722800.29678032,145518.9329331808,0.007131680778238727,5.470963563258229
0.9,0.3666166069382871,0.00712183926038305,49818464.334968165,146153.01046695092,0.00712183926038305,5.470963563258229
0.9,0.3883186488956182,0.006973755421408333,51239053.55740832,149390.79130496184,0.006973755421408333,5.470963563258229
0.9,0.39899677824838425,0.006298641354194723,52128189.786881536,150493.57170901087,0.006298641354194723,5.470963563258229
0.9,0.40664451865141643,0.006185205381817567,52344839.23695417,152366.74051675497,0.006185205381817567,5.470963563258229
0.9,0.46176348150653124,0.0061136864677515225,55538669.27041039,161658.04369804653,0.0061136864677515225,5.470963563258229
0.9,0.4800758715044539,0.006052051720454565,56723108.49754768,164426.90215989357,0.006052051720454565,5.470963563258229
0.9,0.533622547920299,0.00599859181888696,59811481.35111284,173490.17419124776,0.00599859181888696,5.470963563258229
0.9,0.5543341904998433,0.005987069019821298,60695602.39211626,177796.29123291333,0.005987069019821298,5.470963563258229
1.0,0.29342813619553,0.013585288797077122,45714337.1040373,133463.21672250525,0.013585288797077122,5.503223091148333
1.0,0.2951875850028945,0.013457809441307294,45834553.660448655,133712.70443676726,0.013457809441307294,5.503223091148333
1.0,0.296375129684073,0.013180550270440532,45967872.92051732,133746.55628887477,0.013180550270440532,5.503223091148333
1.0,0.2976289715310968,0.012735108828076604,46080092.7844282,133855.8927892832,0.012735108828076604,5.503223091148333
1.0,0.29797749956299735,0.012666723755873289,46080036.039123364,133966.86226501453,0.012666723755873289,5.503223091148333
1.0,0.30148161133909135,0.011372746062762763,46203297.44931053,134763.25797049722,0.011372746062762763,5.503223091148333
1.0,0.3030839812180157,0.011083094823607293,46315460.56791658,134983.56394663698,0.011083094823607293,5.503223091148333
1.0,0.3039095504417445,0.011080667444538015,46300475.14420755,135284.71344517174,0.011080667444538015,5.503223091148333
1.0,0.31793017827356274,0.010942038415131583,47228972.462461874,137348.8336737842,0.010942038415131583,5.503223091148333
1.0,0.3228754954551382,0.010579341265172546,47583139.754865006,138008.1163904588,0.010579341265172546,5.503223091148333
1.0,0.32422420460975954,0.009625422127536596,47597716.25132375,138399.3872075141,0.009625422127536596,5.503223091148333
1.0,0.32504977383348826,0.009623839763108532,47582730.827614725,138700.53670604888,0.009623839763108532,5.503223091148333
1.0,0.33070276475316346,0.009486808699795094,48045557.41859791,139304.66893453858,0.009486808699795094,5.503223091148333
1.0,0.33743807445838037,0.009072844478402408,48200995.36545114,141045.53871960528,0.009072844478402408,5.503223091148333
1.0,0.34056778114041464,0.008114925468313182,48423707.70414734,141466.45340078018,0.008114925468313182,5.503223091148333
1.0,0.3437321007945774,0.008083209570362423,48569739.15431302,142096.09225333526,0.008083209570362423,5.503223091148333
1.0,0.34455767001830606,0.008082268377875372,48554753.73060399,142397.24175187002,0.008082268377875372,5.503223091148333
1.0,0.348838582449595,0.007757767586441183,48805163.683106236,143112.79393495744,0.007757767586441183,5.503223091148333
1.0,0.3496641516733236,0.007743409325315698,48790178.25939721,143413.94343349218,0.007743409325315698,5.503223091148333
1.0,0.3670832222479551,0.007512246008658427,49859555.2161398,146195.43148420213,0.007512246008658427,5.503223091148333
1.0,0.37725567415040073,0.006866952655537925,50519786.068855904,147727.6410597268,0.006866952655537925,5.503223091148333
1.0,0.382362155805418,0.006669448193553058,50755210.59764912,148744.34274134887,0.006669448193553058,5.503223091148333
