gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
19,0.3125837345296406,0.05430363609196308,5.346999290200403,MUTPB_0.6,100,3,OnePoint,0.8,0.6
20,0.3125837345296406,0.05430363609196308,5.3470261103871835,MUTPB_0.6,100,3,OnePoint,0.8,0.6
21,0.3125837345296406,0.05430363609196308,5.347034299309665,MUTPB_0.6,100,3,OnePoint,0.8,0.6
22,0.293806331382236,0.05430363609196308,5.3920055448058966,MUTPB_0.6,100,3,OnePoint,0.8,0.6
23,0.293806331382236,0.05430363609196308,5.392125364861725,MUTPB_0.6,100,3,OnePoint,0.8,0.6
24,0.293806331382236,0.05430363609196308,5.392135739378886,MUTPB_0.6,100,3,OnePoint,0.8,0.6
25,0.29213936009487534,0.05430363609196308,5.396522825591556,MUTPB_0.6,100,3,OnePoint,0.8,0.6
26,0.29213936009487534,0.05430363609196308,5.39652349208334,MUTPB_0.6,100,3,OnePoint,0.8,0.6
27,0.29213936009487534,0.05430363609196308,5.396532405756628,MUTPB_0.6,100,3,OnePoint,0.8,0.6
28,0.27890335032441216,0.05430363609196308,5.428340088831755,MUTPB_0.6,100,3,OnePoint,0.8,0.6
29,0.27642982588574616,0.05430363609196308,5.434262641788124,MUTPB_0.6,100,3,OnePoint,0.8,0.6
30,0.27642982588574616,0.05430363609196308,5.434296118729836,MUTPB_0.6,100,3,OnePoint,0.8,0.6
31,0.27642982588574616,0.05430363609196308,5.434497161294727,MUTPB_0.6,100,3,OnePoint,0.8,0.6
32,0.27240897644197715,0.05430363609196308,5.44432736644164,MUTPB_0.6,100,3,OnePoint,0.8,0.6
33,0.26556155239457635,0.05430363609196308,5.460709581057682,MUTPB_0.6,100,3,OnePoint,0.8,0.6
34,0.2600948236401742,0.05430363609196308,5.473810528186023,MUTPB_0.6,100,3,OnePoint,0.8,0.6
35,0.2600948236401742,0.05430363609196308,5.473836968322724,MUTPB_0.6,100,3,OnePoint,0.8,0.6
36,0.2600948236401742,0.05430363609196308,5.473876733663724,MUTPB_0.6,100,3,OnePoint,0.8,0.6
37,0.2600948236401742,0.05430363609196308,5.473876733663724,MUTPB_0.6,100,3,OnePoint,0.8,0.6
38,0.2600948236401742,0.05430363609196308,5.473876733663724,MUTPB_0.6,100,3,OnePoint,0.8,0.6
39,0.2600948236401742,0.05430363609196308,5.473879608886164,MUTPB_0.6,100,3,OnePoint,0.8,0.6
40,0.2600948236401742,0.05430363609196308,5.4738883022622336,MUTPB_0.6,100,3,OnePoint,0.8,0.6
