Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
300,0.20330412785790716,0.0996082314691743,40826282.53172344,119974.77859066887,0.0996082314691743,5.640459770043976
300,0.20360074553555435,0.09396319021382155,40751970.66916122,120262.05397549976,0.09396319021382155,5.640459770043976
300,0.2049445565413428,0.09228273116750464,40697831.8441508,120826.24241473753,0.09228273116750464,5.640459770043976
300,0.20812314499992884,0.09186612959930063,40812620.814951055,121527.00289444628,0.09186612959930063,5.640459770043976
300,0.2089006945885835,0.09186425826986969,40866120.915297054,121632.08549179893,0.09186425826986969,5.640459770043976
300,0.2103469424741451,0.09182353753145675,40893490.46815385,122015.80287164834,0.09182353753145675,5.640459770043976
300,0.2111244920627998,0.09182166732491295,40946990.56849985,122120.88546900099,0.09182166732491295,5.640459770043976
300,0.21159682205877559,0.08738305801053826,41107385.36451158,121850.95574500498,0.08738305801053826,5.640459770043976
300,0.21294063306456407,0.08583475233180306,41053246.53950115,122415.14418424274,0.08583475233180306,5.640459770043976
300,0.2151432450193869,0.08453462203728689,41470030.49107613,122020.65743911604,0.08453462203728689,5.640459770043976
300,0.2179437638509446,0.08070245265356102,41421401.00107149,123028.90262826628,0.08070245265356102,5.640459770043976
300,0.21957972160194117,0.0805482581637829,41430047.67708174,123521.1829751645,0.0805482581637829,5.640459770043976
300,0.22288934417315262,0.07639685899063789,41665701.55119165,123947.76525962328,0.07639685899063789,5.640459770043976
300,0.2247797502260438,0.07516154520131828,41696994.49885384,124461.02303268992,0.07516154520131828,5.640459770043976
300,0.2275757981251624,0.07508150151625213,41785462.37243209,125110.08474466973,0.07508150151625213,5.640459770043976
300,0.22813518391474796,0.07482251286961843,42024802.48458453,124661.53214631829,0.07482251286961843,5.640459770043976
300,0.2284505788230365,0.07480113526492484,42047625.54338995,124701.22846151426,0.07480113526492484,5.640459770043976
300,0.2300759150866544,0.0745304734717776,41981538.82587519,125385.19433808731,0.0745304734717776,5.640459770043976
300,0.23450438312987087,0.07246029609636291,42310222.69303317,125921.10769115272,0.07246029609636291,5.640459770043976
300,0.235275943710757,0.07145049257303668,42248485.64764729,126325.03439561273,0.07145049257303668,5.640459770043976
300,0.23732367919206987,0.07127616161464889,42358728.12439617,126681.77381066803,0.07127616161464889,5.640459770043976
300,0.23776638618840396,0.0712742994133009,42388067.04800526,126744.53181910374,0.0712742994133009,5.640459770043976
300,0.2377672181889658,0.07126594423780817,42388863.85594513,126742.71426272174,0.07126594423780817,5.640459770043976
300,0.23999018366262023,0.0712377789971428,42468936.701208055,127233.33179630579,0.0712377789971428,5.640459770043976
300,0.23999101566318204,0.07122945034391925,42469733.50914793,127231.5142399238,0.07122945034391925,5.640459770043976
300,0.24087994292245515,0.06689606917493182,42725725.36985327,126843.21493367865,0.06689606917493182,5.640459770043976
300,0.24424583403175681,0.06588313064742546,42859662.57388888,127552.95038702284,0.06588313064742546,5.640459770043976
300,0.24481484648749235,0.06468775548537463,42776205.43283935,127949.81594743056,0.06468775548537463,5.640459770043976
300,0.24916279635354954,0.06296687615951244,43002476.08374885,128727.6526591152,0.06296687615951244,5.640459770043976
300,0.25108182040685595,0.06296190332407124,43135256.07167123,128985.07079144646,0.06296190332407124,5.640459770043976
300,0.2653817952888357,0.06293053933626751,44087617.84859813,131000.02073743411,0.06293053933626751,5.640459770043976
300,0.27119877166550466,0.061540838716878155,44352887.59124511,132138.39433839056,0.061540838716878155,5.640459770043976
300,0.27407123647515125,0.06048427333703027,44476513.98578118,132719.75336979766,0.06048427333703027,5.640459770043976
300,0.27599026052845754,0.06047963409846614,44609293.97370356,132977.17150212888,0.06047963409846614,5.640459770043976
300,0.2863933225156885,0.05645851736526405,45324443.53632847,134384.78230046612,0.05645851736526405,5.640459770043976
300,0.29210420853875796,0.055769294802906134,45594598.9721171,135477.01870629017,0.055769294802906134,5.640459770043976
