gen,best_obj1,best_obj2,hypervolume,PopSize
67,0.2554292460677792,0.005914973390207445,5.597845290574281,100
68,0.255284914257779,0.005914973390207445,5.5982205239884575,100
69,0.255284914257779,0.005914973390207445,5.598231203962236,100
70,0.255284914257779,0.005914973390207445,5.598231691492071,100
71,0.255284914257779,0.005914973390207445,5.598232632421824,100
72,0.255284914257779,0.005914973390207445,5.598234101838043,100
73,0.255284914257779,0.005914973390207445,5.598236577610705,100
74,0.24862344286493415,0.005914973390207445,5.614806272703463,100
75,0.24862344286493415,0.005914973390207445,5.614819161898566,100
76,0.24862344286493415,0.005914973390207445,5.614821001369267,100
77,0.24862344286493415,0.005914973390207445,5.614831603032181,100
78,0.23910052873986634,0.005914973390207445,5.638522998447731,100
79,0.23910052873986634,0.005914973390207445,5.638527862144038,100
80,0.23910052873986634,0.005914973390207445,5.638547427586352,100
81,0.2324390573470215,0.005914973390207445,5.655125850971939,100
82,0.2324390573470215,0.005914973390207445,5.65512936954489,100
83,0.2324390573470215,0.005914973390207445,5.655133659588999,100
84,0.2324390573470215,0.005914973390207445,5.655138699396881,100
85,0.2324390573470215,0.005914973390207445,5.655139222462982,100
86,0.2324390573470215,0.005914973390207445,5.655139222462982,100
87,0.2324390573470215,0.005914973390207445,5.655144541673593,100
88,0.2324390573470215,0.005914973390207445,5.655151468476136,100
89,0.2324390573470215,0.005914973390207445,5.655152869740825,100
90,0.2324390573470215,0.005914973390207445,5.6551552821746585,100
91,0.2324390573470215,0.005914973390207445,5.655156771384727,100
92,0.2324390573470215,0.005914973390207445,5.655157828766674,100
93,0.2324390573470215,0.005914973390207445,5.655160327946055,100
94,0.22917987733276865,0.005914973390207445,5.663270944690412,100
95,0.22770558961303938,0.005914973390207445,5.666936399040719,100
96,0.22770558961303938,0.005914973390207445,5.6669365513374315,100
97,0.22770558961303938,0.005914973390207445,5.666936700047777,100
98,0.22770558961303938,0.005914973390207445,5.666936964511244,100
99,0.22170267704616886,0.005914973390207445,5.681860758591999,100
100,0.2202283893264394,0.005914973390207445,5.685525789035337,100
