gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
27,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
28,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
29,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
30,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
31,0.3760248741808586,0.05252492040458635,5.195949225668512,CXPB_0.6,100,3,OnePoint,0.6,0.2
32,0.37586144080315453,0.05252492040458635,5.196351533313586,CXPB_0.6,100,3,OnePoint,0.6,0.2
33,0.37147394430588,0.05252492040458635,5.20695506469636,CXPB_0.6,100,3,OnePoint,0.6,0.2
34,0.35437948351068416,0.05252492040458635,5.248267378504427,CXPB_0.6,100,3,OnePoint,0.6,0.2
35,0.35437948351068416,0.05252492040458635,5.248267378504427,CXPB_0.6,100,3,OnePoint,0.6,0.2
36,0.35437948351068416,0.05252492040458635,5.248267378504427,CXPB_0.6,100,3,OnePoint,0.6,0.2
37,0.35437948351068416,0.05252492040458635,5.248267378504428,CXPB_0.6,100,3,OnePoint,0.6,0.2
38,0.3498285536357056,0.05252492040458635,5.259255122918357,CXPB_0.6,100,3,OnePoint,0.6,0.2
39,0.3498285536357056,0.05252492040458635,5.259273062528489,CXPB_0.6,100,3,OnePoint,0.6,0.2
40,0.3498285536357056,0.05252492040458635,5.259273062528489,CXPB_0.6,100,3,OnePoint,0.6,0.2
41,0.3498285536357056,0.05252492040458635,5.259285842751122,CXPB_0.6,100,3,OnePoint,0.6,0.2
42,0.3498285536357056,0.05252492040458635,5.259285842751122,CXPB_0.6,100,3,OnePoint,0.6,0.2
43,0.3441898450822234,0.05252492040458635,5.272927291238629,CXPB_0.6,100,3,OnePoint,0.6,0.2
44,0.3441898450822234,0.05252492040458635,5.272929634030884,CXPB_0.6,100,3,OnePoint,0.6,0.2
45,0.3441898450822234,0.05252492040458635,5.272929634030884,CXPB_0.6,100,3,OnePoint,0.6,0.2
46,0.3441898450822234,0.05252492040458635,5.273011536077419,CXPB_0.6,100,3,OnePoint,0.6,0.2
47,0.3441898450822234,0.05252492040458635,5.273012923064074,CXPB_0.6,100,3,OnePoint,0.6,0.2
48,0.3441898450822234,0.05252492040458635,5.273012923064074,CXPB_0.6,100,3,OnePoint,0.6,0.2
